"domain","country_code","dim1_flow_mean","dim1_stock_mean","delta_dim1_mean","abs_delta_dim1_mean"
"arms_control","EST",0.222455883617145,2.8925561404641,-2.67010025684695,2.67010025684695
"arms_control","FIN",0.222455883617145,2.8925561404641,-2.67010025684695,2.67010025684695
"arms_control","KOR",0.0853897200334945,2.67852325454562,-2.59313353451212,2.59313353451212
"arms_control","LTU",0.19769021272698,2.60597734452294,-2.40828713179596,2.40828713179596
"arms_control","LVA",0.336480399668529,2.64970040107443,-2.3132200014059,2.3132200014059
"arms_control","GEO",0.0829885431604346,2.05882798277999,-1.97583943961955,1.97583943961955
"arms_control","CHN",-0.203446050476238,1.73720544354489,-1.94065149402113,1.94065149402113
"arms_control","COM",-0.367030145573392,-2.1993913079274,1.832361162354,1.832361162354
"arms_control","POL",0.243032499164727,1.91915044318845,-1.67611794402372,1.67611794402372
"arms_control","RUS",-0.169629854560523,1.40135610379042,-1.57098595835094,1.57098595835094
"environment","SMR",-3.02615498633771,-2.03968395660963,-0.986471029728073,0.986471029728073
"environment","GRD",-2.10338338600147,-1.17154657705537,-0.931836808946103,0.931836808946103
"environment","PSE",-3.72464806748413,-4.63071942482469,0.906071357340568,0.906071357340568
"environment","MCO",0.342594939807305,1.24054651356136,-0.897951573754056,0.897951573754056
"environment","AUT",1.19741355051592,2.08454958993817,-0.88713603942225,0.88713603942225
"environment","NIU",-2.1944658975682,-3.08086319701045,0.886397299442246,0.886397299442246
"environment","HUN",1.59965485133124,2.4670962067289,-0.867441355397653,0.867441355397653
"environment","LIE",-1.66866340129283,-0.836513868708658,-0.832149532584172,0.832149532584172
"environment","ISL",0.219799708274762,1.03901556868486,-0.819215860410098,0.819215860410098
"environment","TON",-0.661302590571547,-1.46001397385672,0.798711383285168,0.798711383285168
"human_rights","EGY",0.21197889264427,-1.90032509520168,2.11230398784595,2.11230398784595
"human_rights","ESP",-1.67410945037755,0.268863598313846,-1.9429730486914,1.9429730486914
"human_rights","CRI",-1.58641917661278,0.354365452757895,-1.94078462937067,1.94078462937067
"human_rights","MNE",-1.57398482845295,0.251095136134526,-1.82507996458748,1.82507996458748
"human_rights","PRT",-1.43435611919665,0.246933074843507,-1.68128919404015,1.68128919404015
"human_rights","UGA",-0.354164424711454,-2.02053306364443,1.66636863893297,1.66636863893297
"human_rights","DEU",-1.1124733239284,0.482319895791362,-1.59479321971976,1.59479321971976
"human_rights","BRA",-1.34027902564917,0.208792623070238,-1.5490716487194,1.5490716487194
"human_rights","SYC",0.43881992815554,-1.08498719468485,1.52380712284039,1.52380712284039
"human_rights","GIN",0.372468993577048,-1.13288190795678,1.50535090153382,1.50535090153382
"intellectual_property","UZB",-0.159734551027367,2.05831080573312,-2.21804535676049,2.21804535676049
"intellectual_property","BRA",0.000116415913741984,1.9221909476251,-1.92207453171136,1.92207453171136
"intellectual_property","AGO",-2.01441768983508,-0.161561163165695,-1.85285652666938,1.85285652666938
"intellectual_property","LIE",1.06748138113786,2.82841370927882,-1.76093232814096,1.76093232814096
"intellectual_property","EGY",-0.436992015764957,1.30860837887955,-1.7456003946445,1.7456003946445
"intellectual_property","CHE",1.07869698924413,2.82271456658839,-1.74401757734426,1.74401757734426
"intellectual_property","MCO",-0.451095803959011,1.2638698314043,-1.71496563536331,1.71496563536331
"intellectual_property","GBR",0.98144457401795,2.60514852194198,-1.62370394792403,1.62370394792403
"intellectual_property","EST",1.00855095901148,2.61062377140197,-1.60207281239049,1.60207281239049
"intellectual_property","AUS",1.07637855265843,2.64844181728868,-1.57206326463025,1.57206326463025
"investment","TKM",4.25491614957736,4.25491614957736,-1.77635683940025e-15,1.77635683940025e-15
"investment","AGO",2.30048326055129,2.3004832605513,-1.33226762955019e-15,1.33226762955019e-15
"investment","AUT",2.32581505088122,2.32581505088122,-1.33226762955019e-15,1.33226762955019e-15
"investment","BEL",2.56859038229068,2.56859038229068,-1.33226762955019e-15,1.33226762955019e-15
"investment","BHR",2.38395898060309,2.38395898060309,-1.33226762955019e-15,1.33226762955019e-15
"investment","BLR",2.34176838061045,2.34176838061045,-1.33226762955019e-15,1.33226762955019e-15
"investment","BRN",2.67105755080271,2.67105755080271,-1.33226762955019e-15,1.33226762955019e-15
"investment","COK",2.5290630042285,2.5290630042285,-1.33226762955019e-15,1.33226762955019e-15
"investment","CYP",2.73613433310407,2.73613433310407,-1.33226762955019e-15,1.33226762955019e-15
"investment","DJI",2.32581505088122,2.32581505088122,-1.33226762955019e-15,1.33226762955019e-15
"security","COD",2.91180564165768,0.193690237997077,2.7181154036606,2.7181154036606
"security","AGO",2.51094189992621,0.227460472152601,2.28348142777361,2.28348142777361
"security","RWA",1.57016162326866,-0.558372737179224,2.12853436044788,2.12853436044788
"security","BGR",0.248854602988506,2.35212525393072,-2.10327065094222,2.10327065094222
"security","COG",1.86326605789621,-0.0626464504539939,1.9259125083502,1.9259125083502
"security","TZA",1.84226100225264,-0.0778999391232204,1.92016094137586,1.92016094137586
"security","ZMB",1.84226100225264,-0.0778999391232204,1.92016094137586,1.92016094137586
"security","MOZ",1.06465984891135,-0.786440211261145,1.85110006017249,1.85110006017249
"security","CAF",2.20110324651024,0.479834318364139,1.7212689281461,1.7212689281461
"security","NAM",1.8503606671616,0.144642424900127,1.70571824226147,1.70571824226147
