"domain","period","r_dim1","r_dim2","mean_dim1_flow","mean_dim1_stock","delta_mean"
"arms_control","1990-1994",-0.171098607132991,0.0980524415084113,-0.0739357051047763,0.0701416985358269,-0.144077403640603
"arms_control","1995-1999",0.348811708824225,0.832179227305756,-0.044640226261704,0.0345859982646134,-0.0792262245263174
"arms_control","2000-2004",0.527548321811442,0.955767688004449,-0.00650532452722931,-0.00496629499989103,-0.00153902952733829
"arms_control","2005-2009",0.549347015301795,0.965386141999934,-0.00272173313000474,-0.00799969240411577,0.00527795927411103
"arms_control","2010-2014",0.556600621706311,0.967088474408822,0.0039812841047574,-0.0228247883890511,0.0268060724938085
"arms_control","2015-2018",0.549663392639154,0.964538140227941,0.00498548690161527,-0.0257294730269789,0.0307149599285942
"environment","1990-1994",0.993431591541517,0.977979098772076,-0.534212401150192,-0.547064407003262,0.01285200585307
"environment","1995-1999",0.99165557256176,0.976716652851953,-0.580457436916358,-0.575298340130058,-0.00515909678630044
"environment","2000-2004",0.986200716844766,0.974358809159916,-0.594720112528617,-0.533011725994401,-0.0617083865342154
"environment","2005-2009",0.976727768197705,0.966354179527967,-0.573781802598379,-0.400280838835195,-0.173500963763184
"environment","2010-2014",0.9679226800789,0.96669935751363,-0.639598013399301,-0.338346448412591,-0.301251564986711
"environment","2015-2018",0.96000214573253,0.962285928911689,-0.650728561556392,-0.285589505302973,-0.36513905625342
"human_rights","1990-1994",-0.442666770626852,0.80609115927808,0.0337714068974324,-0.0440642177156152,0.0778356246130476
"human_rights","1995-1999",-0.36806392326995,0.92617298750838,0.0296530747252125,0.0102579021100085,0.019395172615204
"human_rights","2000-2004",-0.382292016246904,0.926336896642078,0.0402407674617242,0.00297404125413099,0.0372667262075932
"human_rights","2005-2009",-0.398927289780777,0.925319728192646,0.0443504396169318,0.00534078890393958,0.0390096507129922
"human_rights","2010-2014",-0.415062376082816,0.921876887940729,0.0472658161773387,0.00563307512671985,0.0416327410506188
"human_rights","2015-2018",-0.423250396158558,0.918516314529905,0.0460322304863097,0.00702052242393141,0.0390117080623783
"intellectual_property","1990-1994",0.352724495159722,0.272842640711861,-0.0300812366739002,0.060025580327788,-0.0901068170016883
"intellectual_property","1995-1999",0.619961974462719,0.663775874823881,-0.00211129229431124,0.0160154883938922,-0.0181267806882034
"intellectual_property","2000-2004",0.794115528922777,0.855203648150648,0.00584438814411981,-0.00299013075401791,0.00883451889813772
"intellectual_property","2005-2009",0.831554034512914,0.855740870372186,-0.00614434307445725,-0.00850023712236732,0.00235589404791007
"intellectual_property","2010-2014",0.842428467803204,0.863492322329178,-0.00810316256682818,-0.0314645658615084,0.0233614032946803
"intellectual_property","2015-2018",0.837729716334718,0.84161876383717,-0.00826160840165876,-0.0317273209199935,0.0234657125183347
"investment","1990-1994",1,1,0.97795103752303,0.97795103752303,-6.66133814775094e-16
"investment","1995-1999",1,1,1.20785111630474,1.20785111630474,-4.44089209850063e-16
"investment","2000-2004",1,1,1.43512420922582,1.43512420922582,-8.88178419700125e-16
"investment","2005-2009",1,1,1.45697480665327,1.45697480665327,-8.88178419700125e-16
"investment","2010-2014",1,1,1.46502284222201,1.46502284222201,-2.22044604925031e-16
"investment","2015-2018",1,1,1.46717683332799,1.46717683332799,-4.44089209850063e-16
"security","1990-1994",0.675090217568215,0.537952418399665,0.709878970872109,-0.237116494180682,0.946995465052791
"security","1995-1999",0.682721738784323,0.587726372709236,0.860947194725133,-0.221757324019816,1.08270451874495
"security","2000-2004",0.720872619046286,0.595491783160886,0.856970832054169,-0.425376699177312,1.28234753123148
"security","2005-2009",0.723673131682626,0.601144472646029,0.885165958590834,-0.4154875151721,1.30065347376293
"security","2010-2014",0.717272306846418,0.599346346869784,0.88954509620585,-0.420828175838755,1.3103732720446
"security","2015-2018",0.710902054375805,0.595044497944232,0.892463150126586,-0.417496756777032,1.30995990690362
