"country_code","pos_share","pos_share_pct","x_norm","x_norm_pct"
"AIA",0.0254849752757703,82.7586206896552,2.99628570165712,73.8916256157635
"ALB",0.0121719284899201,59.6059113300493,0.450336261025076,9.85221674876847
"CAF",0.0258653480410803,83.2512315270936,3.69341721688446,85.2216748768473
"ECU",0.0285279573982503,84.7290640394089,3.07658236359532,75.8620689655172
"LBN",0.0110308101939901,55.6650246305419,1.21604435281223,28.5714285714286
"MUS",0.0186382655001902,71.9211822660099,2.852392630452,66.9950738916256
"PLW",0.0125523012552301,61.0837438423645,2.63102100823065,57.1428571428571
"SSD",0.0429821224800304,93.5960591133005,4.71977979863385,96.0591133004926
"SVK",0.0513503233168505,98.5221674876847,4.5568359187274,94.0886699507389
"TUV",0.0159756561430202,67.9802955665025,2.66780955275862,58.6206896551724
