"country_code","dim1_prev","dim2_prev","dim1_curr","dim2_curr","delta_dim1","delta_dim2","delta_l2","delta_l1","delta_max","idx","startlegis","endlegis","active_periods","n_items_total","n_items_active","n_obs","n_pos","n_neg","n_missing","pct_missing","obs_rate_active","active_periods_with_votes","prop_active_periods_with_votes","mean_obs_per_active_period","min_obs_active_period","max_obs_active_period"
"IRN",-2.7742944303476,-0.385922242295897,-2.77926083993341,-0.42974092701848,-0.00496640958580175,-0.0438186847225834,0.0440992330431166,0.0487850943083852,0.0438186847225834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAZ",0.860127770815827,-1.28868262892063,0.896912927230307,-1.26521486866829,0.0367851564144797,0.0234677602523419,0.0436335135383243,0.0602529166668215,0.0367851564144797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VGB",1.00398792012572,1.46970282291432,0.967327075556145,1.48144777973232,-0.0366608445695785,0.011744956818001,0.0384962535217585,0.0484058013875796,0.0366608445695785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSM",0.903411273186931,1.50654367988417,0.866212618113004,1.51565345259036,-0.0371986550739277,0.00910977270618529,0.0382978837283133,0.046308427780113,0.0371986550739277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAR",0.702883065937164,1.51047098206979,0.665483314370457,1.51798131230908,-0.0373997515667069,0.00751033023929137,0.0381463822341597,0.0449100818059983,0.0373997515667069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",0.167383352003947,-1.41423009614794,0.20387212901266,-1.41978741188267,0.0364887770087126,-0.00555731573473528,0.0369095462687784,0.0420460927434479,0.0364887770087126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",0.338548497115118,1.41792907849541,0.302708274398877,1.4117895118573,-0.0358402227162415,-0.0061395666381121,0.0363622859959823,0.0419797893543536,0.0358402227162415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO",0.315425173295417,1.39602980670228,0.279952794281292,1.38976628570774,-0.035472379014125,-0.00626352099454519,0.0360211239159864,0.0417359000086702,0.035472379014125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNA",0.368907526513544,1.39419787596311,0.333433842323641,1.38978240447043,-0.0354736841899033,-0.00441547149267141,0.0357474286978461,0.0398891556825747,0.0354736841899033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIN",0.535610892165139,1.39381772025352,0.499917146036112,1.39531443955835,-0.0356937461290272,0.00149671930483053,0.0357251127556079,0.0371904654338577,0.0356937461290272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
