hs88,hs2012,hs2012_count,hs88_count,mapping_type,ambiguous_mapping,mapping_weight
030261,030243,1,1,one_to_one,FALSE,1
030264,030244,1,1,one_to_one,FALSE,1
030269,030245,17,1,one_to_many,TRUE,0.058823529411764705
030269,030246,17,1,one_to_many,TRUE,0.058823529411764705
030269,030247,17,1,one_to_many,TRUE,0.058823529411764705
030250,030251,1,1,one_to_one,FALSE,1
030262,030252,1,1,one_to_one,FALSE,1
030263,030253,1,1,one_to_one,FALSE,1
030269,030254,17,1,one_to_many,TRUE,0.058823529411764705
030269,030255,17,1,one_to_many,TRUE,0.058823529411764705
030269,030256,17,1,one_to_many,TRUE,0.058823529411764705
030269,030259,17,1,one_to_many,TRUE,0.058823529411764705
030269,030271,17,1,one_to_many,TRUE,0.058823529411764705
030269,030272,17,1,one_to_many,TRUE,0.058823529411764705
030269,030273,17,1,one_to_many,TRUE,0.058823529411764705
030266,030274,1,1,one_to_one,FALSE,1
030269,030279,17,1,one_to_many,TRUE,0.058823529411764705
030265,030281,1,1,one_to_one,FALSE,1
030269,030282,17,1,one_to_many,TRUE,0.058823529411764705
030269,030283,17,1,one_to_many,TRUE,0.058823529411764705
030269,030284,17,1,one_to_many,TRUE,0.058823529411764705
030269,030285,17,1,one_to_many,TRUE,0.058823529411764705
030269,030289,17,1,one_to_many,TRUE,0.058823529411764705
030270,030290,1,1,one_to_one,FALSE,1
030310,030311,2,1,one_to_many,TRUE,0.5
030310,030312,2,1,one_to_many,TRUE,0.5
030322,030313,1,1,one_to_one,FALSE,1
030321,030314,1,1,one_to_one,FALSE,1
030329,030319,1,1,one_to_one,FALSE,1
030379,030323,13,1,one_to_many,TRUE,0.07692307692307693
030379,030324,13,1,one_to_many,TRUE,0.07692307692307693
030379,030325,13,1,one_to_many,TRUE,0.07692307692307693
030376,030326,1,1,one_to_one,FALSE,1
030379,030329,13,1,one_to_many,TRUE,0.07692307692307693
030331,030331,1,1,one_to_one,FALSE,1
030332,030332,1,1,one_to_one,FALSE,1
030333,030333,1,1,one_to_one,FALSE,1
030339,030334,2,1,one_to_many,TRUE,0.5
030339,030339,2,1,one_to_many,TRUE,0.5
030341,030341,1,1,one_to_one,FALSE,1
030342,030342,1,1,one_to_one,FALSE,1
030343,030343,1,1,one_to_one,FALSE,1
030349,030344,4,1,one_to_many,TRUE,0.25
030349,030345,4,1,one_to_many,TRUE,0.25
030349,030346,4,1,one_to_many,TRUE,0.25
030349,030349,4,1,one_to_many,TRUE,0.25
030350,030351,1,1,one_to_one,FALSE,1
030371,030353,1,1,one_to_one,FALSE,1
030374,030354,1,1,one_to_one,FALSE,1
030379,030355,13,1,one_to_many,TRUE,0.07692307692307693
030379,030356,13,1,one_to_many,TRUE,0.07692307692307693
030379,030357,13,1,one_to_many,TRUE,0.07692307692307693
030360,030363,1,1,one_to_one,FALSE,1
030372,030364,1,1,one_to_one,FALSE,1
030373,030365,1,1,one_to_one,FALSE,1
030378,030366,1,1,one_to_one,FALSE,1
030379,030367,13,1,one_to_many,TRUE,0.07692307692307693
030379,030368,13,1,one_to_many,TRUE,0.07692307692307693
030379,030369,13,1,one_to_many,TRUE,0.07692307692307693
030375,030381,1,1,one_to_one,FALSE,1
030379,030382,13,1,one_to_many,TRUE,0.07692307692307693
030379,030383,13,1,one_to_many,TRUE,0.07692307692307693
030377,030384,1,1,one_to_one,FALSE,1
030379,030389,13,1,one_to_many,TRUE,0.07692307692307693
030380,030390,1,1,one_to_one,FALSE,1
030410,030431,17,1,one_to_many,TRUE,0.058823529411764705
030410,030432,17,1,one_to_many,TRUE,0.058823529411764705
030410,030433,17,1,one_to_many,TRUE,0.058823529411764705
030410,030439,17,1,one_to_many,TRUE,0.058823529411764705
030410,030441,17,1,one_to_many,TRUE,0.058823529411764705
030410,030442,17,1,one_to_many,TRUE,0.058823529411764705
030410,030443,17,1,one_to_many,TRUE,0.058823529411764705
030410,030444,17,1,one_to_many,TRUE,0.058823529411764705
030410,030445,17,1,one_to_many,TRUE,0.058823529411764705
