reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,0302,0,3,0,13,3,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,0303,0,4,0,13,4,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,0305,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,0814,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,0902,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1213,0,1,0,11,1,0,11,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1501,0,3,0,11,3,0,11,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1503,0,1,0,11,1,0,11,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1506,0,1,0,9,1,0,9,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1510,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1518,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1522,0,1,0,13,1,0,13,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1601,0,1,0,19,1,0,19,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1603,0,1,0,19,1,0,19,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1806,0,1,0,21,1,0,21,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1901,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,1903,0,1,0,19,1,0,19,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2006,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2202,0,1,0,23,1,0,23,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2209,0,1,0,23,1,0,23,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2305,0,1,0,9,1,0,9,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2512,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2513,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2514,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2517,0,2,0,7,2,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2618,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2619,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2707,0,1,0,9,1,0,9,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2715,0,1,0,9,1,0,9,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2844,0,3,0,5,3,0,5,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2909,0,1,0,15,1,0,15,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,2917,0,1,0,5,1,0,5,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3101,0,1,0,7,1,0,7,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3102,0,1,0,3,1,0,3,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3105,0,3,0,9,3,0,9,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3205,0,1,0,15,1,0,15,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3405,0,2,0,19,2,0,19,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3603,0,1,0,15,1,0,15,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3606,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3704,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3806,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3807,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3813,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3814,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3819,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3822,0,1,0,17,1,0,17,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,3917,0,1,0,19,1,0,19,1,0,HS4,WITS/TRAINS
BRA,1999,N37,N37,MERCOSUR,Yes,Beneficiaries,4004,0,1,0,15,1,0,15,1,0,HS4,WITS/TRAINS
