reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,1999,0302,13,3,0
BRA,1999,0303,13,4,0
BRA,1999,0305,13,1,0
BRA,1999,0814,13,1,0
BRA,1999,0902,13,1,0
BRA,1999,1213,11,1,0
BRA,1999,1501,11,3,0
BRA,1999,1503,11,1,0
BRA,1999,1506,9,1,0
BRA,1999,1510,13,1,0
BRA,1999,1518,13,1,0
BRA,1999,1522,13,1,0
BRA,1999,1601,19,1,0
BRA,1999,1603,19,1,0
BRA,1999,1806,21,1,0
BRA,1999,1901,17,1,0
BRA,1999,1903,19,1,0
BRA,1999,2006,17,1,0
BRA,1999,2202,23,1,0
BRA,1999,2209,23,1,0
BRA,1999,2305,9,1,0
BRA,1999,2512,7,1,0
BRA,1999,2513,7,1,0
BRA,1999,2514,7,1,0
BRA,1999,2517,7,2,0
BRA,1999,2618,7,1,0
BRA,1999,2619,7,1,0
BRA,1999,2705,0,1,0
BRA,1999,2706,0,1,0
BRA,1999,2707,9,1,0
BRA,1999,2715,9,1,0
BRA,1999,2844,5,3,0
BRA,1999,2909,15,1,0
BRA,1999,2917,5,1,0
BRA,1999,3101,7,1,0
BRA,1999,3102,3,1,0
BRA,1999,3105,9,3,0
BRA,1999,3205,15,1,0
BRA,1999,3405,19,2,0
BRA,1999,3603,15,1,0
BRA,1999,3606,17,1,0
BRA,1999,3704,17,1,0
BRA,1999,3806,17,1,0
BRA,1999,3807,17,1,0
BRA,1999,3813,17,1,0
BRA,1999,3814,17,1,0
BRA,1999,3819,17,1,0
BRA,1999,3822,17,1,0
BRA,1999,3917,19,1,0
BRA,1999,4004,15,1,0
BRA,1999,4009,17,1,0
BRA,1999,4011,19,1,0
BRA,1999,4017,19,1,0
BRA,1999,4101,5,1,0
BRA,1999,4115,13,2,0
BRA,1999,4301,13,1,0
BRA,1999,4401,5,2,0
BRA,1999,4414,13,1,0
BRA,1999,4502,7,1,0
BRA,1999,4707,5,1,0
BRA,1999,4802,15,1,0
BRA,1999,4804,15,2,0
BRA,1999,4810,17,2,0
BRA,1999,4814,17,1,0
BRA,1999,4820,19,1,0
BRA,1999,4906,7,1,0
BRA,1999,4909,19,1,0
BRA,1999,4910,19,1,0
BRA,1999,5004,17,1,0
BRA,1999,5006,19,1,0
BRA,1999,5110,17,1,0
BRA,1999,5205,17,10,0
BRA,1999,5206,17,12,0
BRA,1999,5405,15,1,0
BRA,1999,5507,15,1,0
BRA,1999,5513,21,1,0
BRA,1999,5514,21,3,0
BRA,1999,5606,21,1,0
BRA,1999,5702,23,1,0
BRA,1999,5705,23,1,0
BRA,1999,5809,21,1,0
BRA,1999,5811,21,1,0
BRA,1999,5901,19,1,0
BRA,1999,5907,19,1,0
BRA,1999,5908,19,1,0
BRA,1999,5909,19,1,0
BRA,1999,5910,19,1,0
BRA,1999,5911,19,2,0
BRA,1999,6308,23,1,0
BRA,1999,6403,23,1,0
BRA,1999,6501,21,1,0
BRA,1999,6507,21,1,0
BRA,1999,6701,19,1,0
BRA,1999,6703,19,1,0
BRA,1999,6801,9,1,0
BRA,1999,6802,11,1,0
BRA,1999,6806,9,2,0
BRA,1999,6808,11,1,0
BRA,1999,6901,13,1,0
BRA,1999,6907,15,1,0
BRA,1999,6908,17,1,0
BRA,1999,6912,23,1,0
BRA,1999,7001,5,1,0
BRA,1999,7006,15,1,0
BRA,1999,7007,15,2,0
BRA,1999,7014,17,1,0
BRA,1999,7016,17,1,0
BRA,1999,7107,15,1,0
BRA,1999,7109,15,1,0
BRA,1999,7111,15,1,0
BRA,1999,7112,5,2,0
BRA,1999,7204,3,1,0
BRA,1999,7306,17,2,0
BRA,1999,7313,17,1,0
BRA,1999,7314,17,1,0
BRA,1999,7323,21,1,0
BRA,1999,7402,9,1,0
BRA,1999,7611,19,1,0
BRA,1999,7616,17,1,0
BRA,1999,8102,5,2,0
BRA,1999,8103,5,2,0
BRA,1999,8206,21,1,0
BRA,1999,8303,19,1,0
BRA,1999,8304,19,1,0
BRA,1999,8310,19,1,0
BRA,1999,8405,19,1,0
BRA,1999,8413,19,1,0
BRA,1999,8416,19,1,0
BRA,1999,8442,19,1,0
BRA,1999,8470,23,1,0
BRA,1999,8475,3,1,0
BRA,1999,8479,19,2,0
BRA,1999,8506,17,1,0
BRA,1999,8532,19,1,0
BRA,1999,8538,19,1,0
BRA,1999,8540,21,1,0
BRA,1999,8544,18.25,4,0
BRA,1999,8545,13.25,4,0
BRA,1999,8546,19,3,0
BRA,1999,8547,19,3,0
BRA,1999,8601,19,2,0
BRA,1999,8602,19,2,0
BRA,1999,8603,19,2,0
BRA,1999,8604,19,1,0
BRA,1999,8605,19,1,0
BRA,1999,8606,19,5,0
BRA,1999,8609,19,1,0
BRA,1999,8703,23,1,0
BRA,1999,8804,17,1,0
BRA,1999,8805,3,1,0
BRA,1999,8901,19,1,0
BRA,1999,8906,19,2,0
BRA,1999,9006,19,1,0
BRA,1999,9023,19,1,0
BRA,1999,9033,19,1,0
BRA,1999,9104,23,1,0
BRA,1999,9206,21,1,0
BRA,1999,9304,23,1,0
BRA,1999,9504,23,1,0
BRA,1999,9508,23,2,0
BRA,1999,9603,21,2,0
BRA,1999,9605,21,1,0
BRA,1999,9611,21,1,0
BRA,1999,9618,21,1,0
BRA,1999,9704,7,1,0
BRA,1999,9705,7,1,0
BRA,1999,NA,16.854166666666668,48,1
