freq,reporter_code,product_code,partner_code,datatype,FREQ_LABEL,REPORTER_LABEL,PRODUCTCODE_LABEL,PARTNER_LABEL,DATATYPE_LABEL,year,tariff_value,nomencode,EXCLUDEDFROM,tariff_type,SUM_OF_RATES,MIN_RATE,MAX_RATE,TOTALNOOFLINES,NBR_PREF_LINES,NBR_MFN_LINES,NBR_NA_LINES,obs_value_measure,partner_override,hs6_code,hs4_code_raw,nbr_na_lines,ad_valorem_only,reporter_iso3,reporter_name,reporter_is_group,reporter_group_type,partner_iso3,partner_name,partner_is_group,partner_group_type,source
A,076,030211,000,Reported,Annual,Brazil,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030211,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030212,000,Reported,Annual,Brazil,"(-2011) -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030212,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030310,000,Reported,Annual,Brazil,"(-2001) - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030310,0303,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030321,000,Reported,Annual,Brazil,"(-2011) -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030321,0303,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030331,000,Reported,Annual,Brazil,"-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030331,0303,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030541,000,Reported,Annual,Brazil,"-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,030541,0305,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,081400,000,Reported,Annual,Brazil,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,081400,0814,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,090230,000,Reported,Annual,Brazil,"- Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,090230,0902,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,121300,000,Reported,Annual,Brazil,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",World,Reported Tariff (Not estimated),1999,11,H1,NA,MFN,11,11,11,1,0,1,0,SimpleAverage,000,121300,1213,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,150100,000,Reported,Annual,Brazil,"(-2011) Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",World,Reported Tariff (Not estimated),1999,11,H1,NA,MFN,11,11,11,1,0,1,0,SimpleAverage,000,150100,1501,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,150300,000,Reported,Annual,Brazil,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",World,Reported Tariff (Not estimated),1999,11,H1,NA,MFN,11,11,11,1,0,1,0,SimpleAverage,000,150300,1503,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,150600,000,Reported,Annual,Brazil,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",World,Reported Tariff (Not estimated),1999,9,H1,NA,MFN,9,9,9,1,0,1,0,SimpleAverage,000,150600,1506,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,151000,000,Reported,Annual,Brazil,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,151000,1510,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,151800,000,Reported,Annual,Brazil,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations o",World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,151800,1518,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,152200,000,Reported,Annual,Brazil,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,World,Reported Tariff (Not estimated),1999,13,H1,NA,MFN,13,13,13,1,0,1,0,SimpleAverage,000,152200,1522,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
