iso3,country_name,first_event_year,first_event_period
ABW,Aruba,1990,1990-1994
AFG,Afghanistan,1990,1990-1994
AGO,Angola,1990,1990-1994
AIA,Anguilla,1992,1990-1994
ALB,Albania,1990,1990-1994
AND,Andorra,1991,1990-1994
ARE,United Arab Emirates,1990,1990-1994
ARG,Argentina,1990,1990-1994
ARM,Armenia,1991,1990-1994
ATG,Antigua & Barbuda,1990,1990-1994
AUS,Australia,1990,1990-1994
AUT,Austria,1990,1990-1994
AZE,Azerbaijan,1990,1990-1994
BDI,Burundi,1990,1990-1994
BEL,Belgium,1990,1990-1994
BEN,Benin,1990,1990-1994
BFA,Burkina Faso,1990,1990-1994
BGD,Bangladesh,1990,1990-1994
BGR,Bulgaria,1990,1990-1994
BHR,Bahrain,1990,1990-1994
BHS,Bahamas,1990,1990-1994
BIH,Bosnia & Herzegovina,1992,1990-1994
BLR,Belarus,1990,1990-1994
BLZ,Belize,1990,1990-1994
BMU,Bermuda,1990,1990-1994
BOL,Bolivia,1990,1990-1994
BRA,Brazil,1990,1990-1994
BRB,Barbados,1990,1990-1994
BRN,Brunei,1990,1990-1994
BTN,Bhutan,1990,1990-1994
BWA,Botswana,1990,1990-1994
CAF,Central African Republic,1990,1990-1994
CAN,Canada,1990,1990-1994
CHE,Switzerland,1990,1990-1994
CHL,Chile,1990,1990-1994
CHN,China,1990,1990-1994
CIV,Côte d’Ivoire,1990,1990-1994
CMR,Cameroon,1990,1990-1994
COD,Congo - Kinshasa,1990,1990-1994
COG,Congo - Brazzaville,1990,1990-1994
COK,Cook Islands,1990,1990-1994
COL,Colombia,1990,1990-1994
COM,Comoros,1990,1990-1994
CPV,Cape Verde,1990,1990-1994
CRI,Costa Rica,1990,1990-1994
CUB,Cuba,1990,1990-1994
CUW,Curacao,1990,1990-1994
CYP,Cyprus,1990,1990-1994
CZE,Czechia,1990,1990-1994
DEU,Germany,1990,1990-1994
DJI,Djibouti,1990,1990-1994
DMA,Dominica,1990,1990-1994
DNK,Denmark,1990,1990-1994
DOM,Dominican Republic,1990,1990-1994
DZA,Algeria,1990,1990-1994
ECU,Ecuador,1990,1990-1994
EGY,Egypt,1990,1990-1994
ERI,Eritrea,1990,1990-1994
ESP,Spain,1990,1990-1994
EST,Estonia,1991,1990-1994
ETH,Ethiopia,1990,1990-1994
FIN,Finland,1990,1990-1994
FJI,Fiji,1990,1990-1994
FLK,Falkland Islands (Malvinas),1999,1995-1999
