iso3,period,unga_ideal_point
HRV,2000-2004,0.8945119142532348
HRV,2005-2009,0.8896422743797302
HRV,2010-2014,0.9251586437225342
HRV,2015-2018,1.0249043256044388
HTI,1990-1994,-0.30591924488544464
HTI,1995-1999,-0.2932388037443161
HTI,2000-2004,-0.38875533938407897
HTI,2005-2009,-0.2764251232147217
HTI,2010-2014,-0.33408973813056947
HTI,2015-2018,-0.14813774824142456
HUN,1990-1994,1.2748948097229005
HUN,1995-1999,1.3381304025650025
HUN,2000-2004,1.0901026844978332
HUN,2005-2009,0.9605790972709656
HUN,2010-2014,0.9931094527244568
HUN,2015-2018,1.1553734838962555
IDN,1990-1994,-1.0763497233390809
IDN,1995-1999,-1.1411782264709474
IDN,2000-2004,-0.9409565687179565
IDN,2005-2009,-0.996876883506775
IDN,2010-2014,-0.8901927709579468
IDN,2015-2018,-0.9696052968502045
IND,1990-1994,-0.9181826829910278
IND,1995-1999,-1.1110637187957764
IND,2000-2004,-0.3709998056292534
IND,2005-2009,-0.3785657167434692
IND,2010-2014,-0.6255964398384094
IND,2015-2018,-0.25652897730469704
IRL,1990-1994,1.0778069972991944
IRL,1995-1999,0.9807016491889954
IRL,2000-2004,0.8140568375587464
IRL,2005-2009,0.7565655946731568
IRL,2010-2014,0.748127031326294
IRL,2015-2018,0.6963167488574982
IRN,1990-1994,-1.1347997426986693
IRN,1995-1999,-1.5275364160537719
IRN,2000-2004,-1.2409401655197143
IRN,2005-2009,-1.4792539834976197
IRN,2010-2014,-1.75981662273407
IRN,2015-2018,-1.600398987531662
IRQ,1990-1994,-1.4872625589370727
IRQ,2000-2004,-1.177968978881836
IRQ,2005-2009,-0.6088472843170166
IRQ,2010-2014,-0.6831918001174927
IRQ,2015-2018,-0.8900272101163864
ISL,1990-1994,1.300091028213501
ISL,1995-1999,1.2530877828598022
ISL,2000-2004,1.0684404850006104
ISL,2005-2009,0.8913730144500732
ISL,2010-2014,0.8160981059074401
ISL,2015-2018,0.8531945049762726
ISR,1990-1994,2.2890541553497314
ISR,1995-1999,2.385202407836914
ISR,2000-2004,2.2945500373840333
ISR,2005-2009,2.2129623889923096
ISR,2010-2014,2.263787794113159
ISR,2015-2018,2.3199835419654846
ITA,1990-1994,1.5950262069702148
ITA,1995-1999,1.2906163930892944
ITA,2000-2004,1.0527452111244202
ITA,2005-2009,0.9127024412155151
ITA,2010-2014,0.8955420613288879
ITA,2015-2018,0.9701377004384995
JAM,1990-1994,-0.055588250420987605
JAM,1995-1999,-0.2181560590863228
JAM,2000-2004,-0.45218005776405334
JAM,2005-2009,-0.538257759809494
JAM,2010-2014,-0.45062186717987063
JAM,2015-2018,-0.39155709743499756
JOR,1990-1994,-0.8613813877105713
JOR,1995-1999,-0.7000327348709107
JOR,2000-2004,-1.0485985040664674
JOR,2005-2009,-0.6821642279624939
JOR,2010-2014,-0.5943623781204224
JOR,2015-2018,-0.6899981200695038
JPN,1990-1994,1.2340670108795166
JPN,1995-1999,0.8701672911643982
JPN,2000-2004,0.7313623905181885
JPN,2005-2009,0.6309902667999268
JPN,2010-2014,0.659405517578125
JPN,2015-2018,0.6970969289541245
KAZ,1990-1994,0.5702065428098043
KAZ,1995-1999,0.44387300610542296
KAZ,2000-2004,0.1625336468219757
KAZ,2005-2009,-0.12587133273482323
KAZ,2010-2014,-0.355565556883812
KAZ,2015-2018,-0.4852534532546997
KEN,1990-1994,-0.21561896204948425
KEN,1995-1999,-0.4328584253787994
KEN,2000-2004,-0.4446166425943375
KEN,2005-2009,-0.41197343468666076
KEN,2010-2014,-0.5205127418041229
KEN,2015-2018,-0.6620561629533768
KGZ,1990-1994,0.4158068547646205
KGZ,1995-1999,0.2673832457512617
KGZ,2000-2004,0.014834584668278694
KGZ,2005-2009,-0.2486204981803894
KGZ,2010-2014,-0.3363780975341797
KGZ,2015-2018,-0.670532301068306
KHM,1990-1994,-0.3601939231157303
KHM,1995-1999,-0.30335127282887697
KHM,2000-2004,-0.6793924689292907
KHM,2005-2009,-0.6306990504264831
KHM,2010-2014,-0.7215809941291809
KHM,2015-2018,-0.991245910525322
KIR,2000-2004,0.07190217711031435
KIR,2005-2009,0.6255468964576721
KIR,2010-2014,0.5651829391717911
KIR,2015-2018,-0.16027189418673515
KNA,1990-1994,-0.06080431323498488
KNA,1995-1999,-0.41071416437625885
KNA,2000-2004,-0.5297875463962555
KNA,2005-2009,-0.4918530941009521
KNA,2010-2014,-0.5182225584983826
KNA,2015-2018,-0.3805401548743248
KOR,1990-1994,0.537403404712677
KOR,1995-1999,0.5647266149520874
KOR,2000-2004,0.6676218628883361
KOR,2005-2009,0.590174651145935
KOR,2010-2014,0.6617257118225097
KOR,2015-2018,0.8696810305118561
KWT,1990-1994,-0.467310893535614
KWT,1995-1999,-0.454841673374176
KWT,2000-2004,-0.755096697807312
KWT,2005-2009,-0.9217689037322998
KWT,2010-2014,-0.90683913230896
KWT,2015-2018,-0.8324553817510605
LAO,1990-1994,-0.9694446563720703
LAO,1995-1999,-1.1375287771224976
LAO,2000-2004,-0.9537435293197631
LAO,2005-2009,-0.7769622206687927
LAO,2010-2014,-0.8989344716072083
LAO,2015-2018,-1.0587677657604218
LBN,1990-1994,-0.7881275534629821
LBN,1995-1999,-1.099537229537964
LBN,2000-2004,-1.0737855911254883
LBN,2005-2009,-0.7224698185920715
LBN,2010-2014,-0.9337304115295411
LBN,2015-2018,-0.997560054063797
LBR,1990-1994,-0.3283304050564766
LBR,1995-1999,-0.48929163813591003
LBR,2000-2004,-0.37827420234680176
LBR,2005-2009,-0.28841676115989684
LBR,2010-2014,-0.21044099628925322
LBR,2015-2018,-0.08033820427954197
LBY,1990-1994,-1.248427188396454
LBY,1995-1999,-1.768666434288025
LBY,2000-2004,-1.4777735948562623
LBY,2005-2009,-1.339978575706482
LBY,2010-2014,-0.7101318299770355
LBY,2015-2018,-0.7333225160837173
LCA,1990-1994,-0.10307537466287613
LCA,1995-1999,-0.5020653069019317
LCA,2000-2004,-0.7306053876876831
LCA,2005-2009,-0.5290507256984711
LCA,2010-2014,-0.47142047584056856
LCA,2015-2018,-0.474872924387455
LIE,1990-1994,1.1226208209991455
LIE,1995-1999,1.056973659992218
LIE,2000-2004,0.8989429354667664
LIE,2005-2009,0.7931381821632385
LIE,2010-2014,0.7633662223815918
LIE,2015-2018,0.6834692806005478
LKA,1990-1994,-0.8519623398780822
LKA,1995-1999,-0.8590551972389221
LKA,2000-2004,-0.6572504281997681
LKA,2005-2009,-0.6708596050739288
LKA,2010-2014,-0.9992772698402405
LKA,2015-2018,-0.6033138483762741
LSO,1990-1994,-0.42700700610876086
LSO,1995-1999,-0.4301659196615219
LSO,2000-2004,-0.528963178396225
LSO,2005-2009,-0.5351234018802643
LSO,2010-2014,-0.6159455835819244
LSO,2015-2018,-0.5638063475489616
LTU,1990-1994,1.1566340029239655
LTU,1995-1999,1.2548645973205566
LTU,2000-2004,1.0436881184577942
LTU,2005-2009,0.9576315999031066
LTU,2010-2014,0.9997812509536743
LTU,2015-2018,1.1152159571647644
LUX,1990-1994,1.6117105960845948
LUX,1995-1999,1.3925642251968384
LUX,2000-2004,1.0666908144950866
LUX,2005-2009,0.925987184047699
LUX,2010-2014,0.8646347403526307
LUX,2015-2018,0.9760275632143021
LVA,1990-1994,1.1880492568016052
LVA,1995-1999,1.2316070079803467
LVA,2000-2004,1.0994810104370116
LVA,2005-2009,0.9658066511154175
LVA,2010-2014,1.003817343711853
LVA,2015-2018,1.0954565107822418
MAR,1990-1994,-0.6070414632558823
MAR,1995-1999,-0.606816029548645
MAR,2000-2004,-0.8798603951931
MAR,2005-2009,-0.696952509880066
MAR,2010-2014,-0.5989759504795075
MAR,2015-2018,-0.48620152473449707
MCO,1990-1994,1.9447504878044128
MCO,1995-1999,1.3673200130462646
MCO,2000-2004,1.0264370083808898
MCO,2005-2009,0.9062570214271546
MCO,2010-2014,0.8874130010604858
MCO,2015-2018,1.0306555777788162
MDA,1990-1994,1.165608008702596
MDA,1995-1999,1.0388428807258605
MDA,2000-2004,0.7859343647956848
MDA,2005-2009,0.8292701005935669
MDA,2010-2014,0.8780904531478881
MDA,2015-2018,0.7909938991069794
MDG,1990-1994,-0.6660628199577332
MDG,1995-1999,-0.5099202632904053
MDG,2000-2004,-0.47616449296474456
MDG,2005-2009,-0.3397331416606903
MDG,2010-2014,-0.3449911683797836
MDG,2015-2018,-0.5619507506489754
MDV,1990-1994,-0.5876401007175446
MDV,1995-1999,-0.4511433780193329
MDV,2000-2004,-0.5731631815433502
MDV,2005-2009,-0.5439636528491973
MDV,2010-2014,-0.410566520690918
MDV,2015-2018,-0.5509257987141609
MEX,1990-1994,-0.5756363451480866
MEX,1995-1999,-0.45609852075576784
MEX,2000-2004,-0.34827656149864195
MEX,2005-2009,-0.10831519812345505
MEX,2010-2014,-0.07342361791816074
MEX,2015-2018,-0.05225245119072497
MHL,1990-1994,0.7949225902557373
MHL,1995-1999,0.9759274005889893
MHL,2000-2004,1.8410868167877197
MHL,2005-2009,1.5780144214630127
MHL,2010-2014,1.0765687823295593
MHL,2015-2018,0.7986445277929306
MKD,1990-1994,0.8392794132232666
MKD,1995-1999,0.978905200958252
MKD,2000-2004,0.9288810610771179
MKD,2005-2009,0.9214001178741456
MKD,2010-2014,0.8451744079589844
MKD,2015-2018,0.8173791766166687
MLI,1990-1994,-0.6762995541095733
MLI,1995-1999,-0.6692663192749023
MLI,2000-2004,-0.6666494250297547
MLI,2005-2009,-0.6072105050086976
MLI,2010-2014,-0.6051054298877716
MLI,2015-2018,-0.5269432403147221
MLT,1990-1994,0.7629153370857239
MLT,1995-1999,0.5310568869113922
MLT,2000-2004,0.6326610803604126
MLT,2005-2009,0.6410638928413391
MLT,2010-2014,0.6194276571273803
MLT,2015-2018,0.6351642906665802
MMR,1990-1994,-0.8073310613632202
MMR,1995-1999,-1.4053392648696899
MMR,2000-2004,-1.2760226011276246
MMR,2005-2009,-1.1335485935211183
MMR,2010-2014,-1.2103264093399049
MMR,2015-2018,-0.8137691915035248
MNE,2005-2009,0.8657635748386383
MNE,2010-2014,0.8247599363327026
MNE,2015-2018,0.9484601616859436
MNG,1990-1994,-0.35817663967609403
MNG,1995-1999,-0.10926206819713116
MNG,2000-2004,-0.3327329456806183
MNG,2005-2009,-0.34482752084732055
MNG,2010-2014,-0.28866043984889983
MNG,2015-2018,-0.507290355861187
MOZ,1990-1994,-0.6282770216464997
MOZ,1995-1999,-0.5957361936569214
MOZ,2000-2004,-0.6246866583824158
MOZ,2005-2009,-0.5667022347450257
MOZ,2010-2014,-0.5790258586406708
MOZ,2015-2018,-0.7129660546779633
MRT,1990-1994,-0.7515562415122986
