reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2008,0102,1.0000000000000002,5,0
BRA,2008,0103,1.3333333333333333,3,0
BRA,2008,0104,0.833333343267441,2,0
BRA,2008,0105,2.3333333333333335,6,0
BRA,2008,0201,10.666666666666666,3,0
BRA,2008,0202,10.666666666666666,3,0
BRA,2008,0203,10,6,0
BRA,2008,0204,10,9,0
BRA,2008,0205,10,1,0
BRA,2008,0206,10,9,0
BRA,2008,0208,10.000000000000002,6,0
BRA,2008,0209,6,2,0
BRA,2008,0210,10,4,0
BRA,2008,0301,6.000000000000002,8,0
BRA,2008,0302,9.523809523809529,42,0
BRA,2008,0303,10.000000000000004,37,0
BRA,2008,0305,7.638888875643413,20,0
BRA,2008,0306,10,14,0
BRA,2008,0307,10.000000000000004,17,0
BRA,2008,0308,10.000000000000002,6,0
BRA,2008,0401,12.888888994852701,4,0
BRA,2008,0402,22.93333358764648,5,0
BRA,2008,0403,16,2,0
BRA,2008,0404,20.5,2,0
BRA,2008,0406,18.2,5,0
BRA,2008,0407,2.66666674613953,5,0
BRA,2008,0408,10,4,0
BRA,2008,0409,16,1,0
BRA,2008,0410,14,1,0
BRA,2008,0501,8,1,0
BRA,2008,0502,8,2,0
BRA,2008,0504,7.19999980926514,1,0
BRA,2008,0505,8,2,0
BRA,2008,0506,8,2,0
BRA,2008,0507,8,2,0
BRA,2008,0508,8,1,0
BRA,2008,0510,1,1,0
BRA,2008,0511,2.400000015894573,3,0
BRA,2008,0601,0,2,0
BRA,2008,0602,2,4,0
BRA,2008,0603,10,1,0
BRA,2008,0604,8,2,0
BRA,2008,0701,5,2,0
BRA,2008,0702,10,1,0
BRA,2008,0703,9.166666666666666,3,0
BRA,2008,0704,10,3,0
BRA,2008,0705,10,4,0
BRA,2008,0706,10,2,0
BRA,2008,0707,10,1,0
BRA,2008,0708,10,3,0
BRA,2008,0709,9.642857142857144,10,0
BRA,2008,0710,10,8,0
BRA,2008,0711,9.999999999999998,5,0
BRA,2008,0712,10,2,0
BRA,2008,0713,5,12,0
BRA,2008,0714,10,6,0
BRA,2008,0802,9.111111111111114,15,0
BRA,2008,0803,10,2,0
BRA,2008,0804,10,5,0
