"domain","set_name","anchor_role","iso3","pc1_loading"
"arms_control","Alt1","dim1_neg","IRN",-2.9340767624066
"arms_control","Alt1","dim1_pos","MEX",3.09409006729922
"arms_control","Alt1","dim2","VCT",-0.0135717192948804
"arms_control","Alt2","dim1_neg","SYR",-0.208348077002678
"arms_control","Alt2","dim1_pos","NOR",2.84343757474
"arms_control","Alt2","dim2","CHL",0.343554277845041
"environment","Alt1","dim1_neg","MAC",-22.2805042419508
"environment","Alt1","dim1_pos","DEU",34.4914711604418
"environment","Alt1","dim2","KHM",-0.176295649147892
"environment","Alt2","dim1_neg","SYR",2.87720103951887
"environment","Alt2","dim1_pos","NOR",23.5847481229695
"environment","Alt2","dim2","IDN",0.594252454188315
"human_rights","Alt1","dim1_neg","NIU",-3.15634830912327
"human_rights","Alt1","dim1_pos","ECU",4.95426956653519
"human_rights","Alt1","dim2","BGR",0.016808316423876
"human_rights","Alt2","dim1_neg","SYR",0.870334811118923
"human_rights","Alt2","dim1_pos","NOR",0.456123384136643
"human_rights","Alt2","dim2","EGY",-0.851388584780128
"intellectual_property","Alt1","dim1_neg","ATG",-1.94157246750554
"intellectual_property","Alt1","dim1_pos","EST",3.72936299559912
"intellectual_property","Alt1","dim2","ECU",-0.0166876858168116
"intellectual_property","Alt2","dim1_neg","SYR",-1.40470961560939
"intellectual_property","Alt2","dim1_pos","NOR",-1.94157246750554
"intellectual_property","Alt2","dim2","EGY",-0.996235260352809
"investment","Alt1","dim1_neg","QAT",-30.867171344557
"investment","Alt1","dim1_pos","TCD",14.676986793165
"investment","Alt1","dim2","IDN",0.165767743440617
"investment","Alt2","dim1_neg","SYR",3.08080508232905
"investment","Alt2","dim1_pos","NOR",4.03563982955274
"investment","Alt2","dim2","SGP",2.95643724541063
"security","Alt1","dim1_neg","UZB",-20.8866693029161
"security","Alt1","dim1_pos","ALB",3.73799140261651
"security","Alt1","dim2","CHL",0.0890839532696504
"security","Alt2","dim1_neg","SYR",3.22886638471756
"security","Alt2","dim1_pos","NOR",3.09132975801805
"security","Alt2","dim2","TUR",0.907667778627994
