"Year","action_category","countries"
1990,"Entry into force",161
1990,"Other",45
1990,"Ratification/Accession",110
1990,"Signature",107
1991,"Entry into force",176
1991,"Other",44
1991,"Ratification/Accession",116
1991,"Signature",132
1992,"Entry into force",174
1992,"Other",55
1992,"Ratification/Accession",119
1992,"Signature",184
1993,"Entry into force",181
1993,"Other",51
1993,"Ratification/Accession",142
1993,"Signature",172
1994,"Entry into force",188
1994,"Other",148
1994,"Ratification/Accession",174
1994,"Signature",171
1995,"Entry into force",191
1995,"Other",72
1995,"Ratification/Accession",161
1995,"Signature",136
1996,"Entry into force",189
1996,"Other",67
1996,"Ratification/Accession",159
1996,"Signature",169
1997,"Entry into force",192
1997,"Other",68
1997,"Ratification/Accession",158
1997,"Signature",98
1998,"Entry into force",191
1998,"Other",66
1998,"Ratification/Accession",137
1998,"Signature",139
1999,"Entry into force",185
1999,"Other",54
1999,"Ratification/Accession",141
1999,"Signature",140
2000,"Entry into force",190
2000,"Other",72
2000,"Ratification/Accession",131
2000,"Signature",156
2001,"Entry into force",197
2001,"Other",68
2001,"Ratification/Accession",146
2001,"Signature",159
2002,"Entry into force",197
2002,"Other",87
2002,"Ratification/Accession",149
2002,"Signature",160
2003,"Entry into force",197
2003,"Other",73
2003,"Ratification/Accession",163
2003,"Signature",155
2004,"Entry into force",189
2004,"Other",67
2004,"Ratification/Accession",160
2004,"Signature",161
2005,"Entry into force",194
2005,"Other",83
2005,"Ratification/Accession",162
2005,"Signature",177
2006,"Entry into force",195
2006,"Other",69
2006,"Ratification/Accession",149
2006,"Signature",98
2007,"Entry into force",199
2007,"Other",70
2007,"Ratification/Accession",139
2007,"Signature",99
2008,"Entry into force",197
2008,"Other",48
2008,"Ratification/Accession",138
2008,"Signature",136
2009,"Entry into force",192
2009,"Other",55
2009,"Ratification/Accession",126
2009,"Signature",165
2010,"Entry into force",199
2010,"Other",50
2010,"Ratification/Accession",115
2010,"Signature",130
2011,"Entry into force",200
2011,"Other",31
2011,"Ratification/Accession",119
2011,"Signature",137
2012,"Entry into force",197
2012,"Other",45
2012,"Ratification/Accession",126
2012,"Signature",134
2013,"Entry into force",198
2013,"Other",41
2013,"Ratification/Accession",134
2013,"Signature",128
2014,"Entry into force",203
2014,"Other",63
2014,"Ratification/Accession",130
2014,"Signature",120
2015,"Entry into force",193
2015,"Other",61
2015,"Ratification/Accession",119
2015,"Signature",95
2016,"Entry into force",198
2016,"Other",41
2016,"Ratification/Accession",167
2016,"Signature",195
2017,"Entry into force",201
2017,"Other",68
2017,"Ratification/Accession",146
2017,"Signature",115
2018,"Entry into force",195
2018,"Other",48
2018,"Ratification/Accession",140
2018,"Signature",85
2019,"Entry into force",201
2019,"Other",44
2019,"Ratification/Accession",137
2019,"Signature",89
2020,"Entry into force",197
2020,"Other",27
2020,"Ratification/Accession",112
2020,"Signature",34
2021,"Entry into force",187
2021,"Other",22
2021,"Ratification/Accession",81
2021,"Signature",40
2022,"Entry into force",189
2022,"Other",20
2022,"Ratification/Accession",77
2022,"Signature",30
2023,"Entry into force",197
2023,"Other",45
2023,"Ratification/Accession",60
2023,"Signature",94
2024,"Entry into force",167
2024,"Other",37
2024,"Ratification/Accession",50
2024,"Signature",66
2025,"Entry into force",192
2025,"Other",35
2025,"Ratification/Accession",67
2025,"Signature",57
2026,"Entry into force",166
