"signature_year","treaties"
1990,76
1991,87
1992,131
1993,133
1994,203
1995,215
1996,228
1997,197
1998,191
1999,168
2000,153
2001,200
2002,147
2003,122
2004,119
2005,100
2006,99
2007,97
2008,89
2009,120
2010,59
2011,53
2012,40
2013,52
2014,50
2015,45
2016,46
2017,46
2018,57
2019,46
2020,25
2021,20
2022,21
2023,33
2024,33
2025,32
2026,2
