"year_eif","agreements"
1991,3
1992,16
1993,28
1994,12
1995,22
1996,17
1997,20
1998,22
1999,12
2000,17
2001,14
2002,18
2003,21
2004,25
2005,13
2006,18
2007,13
2008,17
2009,20
2010,15
2011,12
2012,17
2013,14
2014,13
2015,14
2016,10
2017,10
2018,5
2019,11
2020,10
2021,48
2022,6
2023,5
2024,9
2025,6
2026,1
