"year","countries"
1990,28
1991,100
1992,87
1993,97
1994,110
1995,89
1996,65
1997,139
1998,85
1999,71
2000,129
2001,78
2002,106
2003,156
2004,89
2005,146
2006,92
2007,68
2008,117
2009,101
2010,54
2011,150
2012,46
2013,60
2014,64
2015,84
2016,56
2017,61
2018,122
2019,138
2020,60
2021,15
2022,15
2023,126
2024,67
2025,44
