"signature_year","countries"
1990,60
1991,99
1992,105
1993,108
1994,112
1995,110
1996,107
1997,116
1998,136
1999,120
2000,169
2001,147
2002,119
2003,125
2004,132
2005,103
2006,113
2007,112
2008,129
2009,112
2010,82
2011,63
2012,83
2013,65
2014,92
2015,76
2016,81
2017,91
2018,127
2019,107
2020,61
2021,35
2022,53
2023,150
2024,70
2025,35
2026,3
