"year","treaties"
1990,8
1991,21
1992,44
1993,29
1994,65
1995,48
1996,40
1997,40
1998,31
1999,25
2000,29
2001,35
2002,33
2003,55
2004,39
2005,41
2006,42
2007,27
2008,26
2009,30
2010,13
2011,41
2012,12
2013,19
2014,15
2015,15
2016,10
2017,16
2018,25
2019,51
2020,69
2021,9
2022,10
2023,24
2024,21
2025,11
