"year","countries"
1991,29
1992,45
1993,78
1994,51
1995,27
1996,52
1997,36
1998,43
1999,31
2000,15
2001,66
2002,47
2003,51
2004,36
2005,44
2006,23
2007,42
2008,40
2009,37
2010,18
2011,54
2012,17
2013,17
2014,20
2015,27
2016,14
2017,26
2018,82
2019,53
2020,30
2021,13
2022,6
2023,29
2024,5
2025,4
