"Year","countries"
1990,172
1991,187
1992,191
1993,192
1994,196
1995,194
1996,198
1997,196
1998,192
1999,192
2000,196
2001,200
2002,198
2003,204
2004,196
2005,201
2006,201
2007,199
2008,198
2009,197
2010,202
2011,202
2012,200
2013,202
2014,204
2015,196
2016,201
2017,203
2018,199
2019,201
2020,198
2021,189
2022,191
2023,199
2024,184
2025,196
2026,166
