"year","region","countries"
1990,"Other/Unknown",4
1991,"Other/Unknown",103
1992,"Other/Unknown",45
1993,"Other/Unknown",86
1994,"Other/Unknown",105
1995,"Other/Unknown",89
1996,"Other/Unknown",43
1997,"Other/Unknown",63
1998,"Other/Unknown",62
1999,"Other/Unknown",78
2000,"Other/Unknown",49
2001,"Other/Unknown",56
2002,"Other/Unknown",52
2003,"Other/Unknown",148
2004,"Other/Unknown",151
2005,"Other/Unknown",82
2006,"Other/Unknown",82
2007,"Other/Unknown",152
2008,"Other/Unknown",87
2009,"Other/Unknown",74
2010,"Other/Unknown",71
2011,"Other/Unknown",63
2012,"Other/Unknown",75
2013,"Other/Unknown",149
2014,"Other/Unknown",25
2015,"Other/Unknown",71
2016,"Other/Unknown",53
2017,"Other/Unknown",52
2018,"Other/Unknown",54
2019,"Other/Unknown",104
2020,"Other/Unknown",117
2021,"Other/Unknown",135
2022,"Other/Unknown",23
2023,"Other/Unknown",66
2024,"Other/Unknown",38
2025,"Other/Unknown",46
2026,"Other/Unknown",2
