"year_signature","agreements"
1991,11
1992,36
1993,19
1994,19
1995,20
1996,26
1997,21
1998,14
1999,13
2000,11
2001,17
2002,18
2003,26
2004,21
2005,12
2006,17
2007,18
2008,19
2009,19
2010,12
2011,16
2012,7
2013,12
2014,14
2015,10
2016,7
2017,8
2018,16
2019,26
2020,22
2021,8
2022,4
2023,12
2024,3
2025,5
