"Year","actions"
1990,1591
1991,1905
1992,2666
1993,2880
1994,3974
1995,2524
1996,3064
1997,2520
1998,3551
1999,2636
2000,3277
2001,2975
2002,4271
2003,3847
2004,3550
2005,4502
2006,3324
2007,4524
2008,3542
2009,2911
2010,2198
2011,2760
2012,1761
2013,3271
2014,2359
2015,1894
2016,3072
2017,2541
2018,2161
2019,2122
2020,1929
2021,1146
2022,1059
2023,1215
2024,1111
2025,834
2026,253
