"eif_year","countries"
1990,61
1991,49
1992,60
1993,100
1994,119
1995,101
1996,85
1997,102
1998,110
1999,105
2000,106
2001,141
2002,119
2003,161
2004,112
2005,104
2006,112
2007,80
2008,89
2009,123
2010,97
2011,78
2012,60
2013,91
2014,77
2015,74
2016,73
2017,74
2018,65
2019,109
2020,73
2021,76
2022,59
2023,16
2024,66
2025,31
