"dataset","rows","unique_countries","year_min","year_max"
"DESTA",1410,NA,1948,2025
"ATOP (state-year)",11923,186,1815,2018
"IEADB (members)",125887,253,1111,2026
"WTO RTA",655,194,1948,2025
"UNCTAD IIA",14978,206,1957,2026
