"year","countries"
1991,7
1992,30
1993,53
1994,59
1995,60
1996,23
1997,35
1998,35
1999,63
2000,43
2001,22
2002,51
2003,62
2004,53
2005,18
2006,37
2007,50
2008,35
2009,45
2010,25
2011,21
2012,33
2013,49
2014,18
2015,32
2016,19
2017,14
2018,19
2019,67
2020,25
2021,73
2022,9
2023,7
2024,26
2025,8
2026,2
