"year","countries"
1990,4
1991,103
1992,45
1993,86
1994,105
1995,89
1996,43
1997,63
1998,62
1999,78
2000,49
2001,56
2002,52
2003,148
2004,151
2005,82
2006,82
2007,152
2008,87
2009,74
2010,71
2011,63
2012,75
2013,149
2014,25
2015,71
2016,53
2017,52
2018,54
2019,104
2020,117
2021,135
2022,23
2023,66
2024,38
2025,46
2026,2
