"signatory","n"
"European Union",92
"European Free Trade Association (EFTA)",71
"ASEAN Free Trade Area (AFTA)",12
"Kosovo (under UNSC res. 1244)",9
"Southern Common Market (MERCOSUR)",9
"Eurasian Economic Union (EAEU)",8
"Lebanese Republic",8
"Southern African Customs Union (SACU)",6
"Gulf Cooperation Council (GCC)",4
"Central American Common Market (CACM)",2
