country_name,treaty_id,treaty_name,action_type,action_date,signature_date,treaty_open_year,mtdsg_no,source_url
Afghanistan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1983-07-06,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Albania,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1994-05-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Algeria,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-02-14,1966-12-09,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Andorra,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2006-09-22,2002-08-05,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Angola,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2019-10-02,2013-09-24,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Antigua and Barbuda,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1988-10-25,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Argentina,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1968-10-02,1967-07-13,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Armenia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1993-06-23,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Australia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1975-09-30,1966-10-13,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Austria,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-05-09,1969-07-22,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Azerbaijan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1996-08-16,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bahamas (The),cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1975-08-05,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bahrain,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1990-03-27,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bangladesh,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1979-06-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Barbados,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1972-11-08,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Belarus,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1969-04-08,1966-03-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Belgium,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1975-08-07,1967-08-17,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Belize,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2001-11-14,2000-09-06,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Benin,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2001-11-30,1967-02-02,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bhutan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,,,1973-03-26,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bolivia (Plurinational State of),cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-09-22,1966-06-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bosnia and Herzegovina,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1993-07-16,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Botswana,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1974-02-20,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Brazil,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1968-03-27,1966-03-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Bulgaria,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1966-08-08,1966-06-01,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Burkina Faso,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1974-07-18,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Burundi,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1977-10-27,1967-02-01,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Cabo Verde,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1979-10-03,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Cambodia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1983-11-28,1966-04-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Cameroon,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-06-24,1966-12-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Canada,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-10-14,1966-08-24,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Central African Republic,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-03-16,1966-03-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Chad,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1977-08-17,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Chile,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-10-20,1966-10-03,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
China,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1981-12-29,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Colombia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1981-09-02,1967-03-23,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Comoros,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2004-09-27,2000-09-22,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Congo,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1988-07-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Costa Rica,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-01-16,1966-03-14,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Côte d'Ivoire,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1973-01-04,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Croatia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1992-10-12,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Cuba,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-02-15,1966-06-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Cyprus,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-04-21,1966-12-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Czech Republic,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1993-02-22,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Democratic Republic of the Congo,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1976-04-21,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Denmark,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-12-09,1966-06-21,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Djibouti,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2011-09-30,2006-06-14,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Dominica,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2019-05-13,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Dominican Republic,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1983-05-25,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Ecuador,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1966-09-22,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Egypt,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-05-01,1966-09-28,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
El Salvador,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1979-11-30,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Equatorial Guinea,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2002-10-08,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Eritrea,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2001-07-31,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Estonia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1991-10-21,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Eswatini,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1969-04-07,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Ethiopia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1976-06-23,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Fiji,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,1973-01-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Finland,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-07-14,1966-10-06,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
France,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1971-07-28,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Gabon,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1980-02-29,1966-09-20,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Gambia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1978-12-29,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Georgia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1999-06-02,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Germany,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1969-05-16,1967-02-10,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Ghana,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1966-09-08,1966-09-08,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Greece,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-06-18,1966-03-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Grenada,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2013-05-10,1981-12-17,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Guatemala,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1983-01-18,1967-09-08,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Guinea,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1977-03-14,1966-03-24,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Guinea-Bissau,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2010-11-01,2000-09-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Guyana,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1977-02-15,1968-12-11,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Haiti,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-12-19,1972-10-30,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Holy See,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1969-05-01,1966-11-21,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Honduras,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2002-10-10,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Hungary,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-05-04,1966-09-15,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Iceland,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-03-13,1966-11-14,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
India,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1968-12-03,1967-03-02,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Indonesia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1999-06-25,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Iran (Islamic Republic of),cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1968-08-29,1967-03-08,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Iraq,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-02-13,1969-02-18,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Ireland,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,2000-12-29,1968-03-21,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Israel,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1979-01-03,1966-03-07,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Italy,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1976-01-05,1968-03-13,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Jamaica,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-06-04,1966-08-14,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Japan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1995-12-15,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Jordan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1974-05-30,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Kazakhstan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1998-08-26,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Kenya,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2001-09-13,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Kuwait,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1968-10-15,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Kyrgyzstan,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1997-09-05,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Lao People's Democratic Republic,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1974-02-22,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Latvia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1992-04-14,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Lebanon,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1971-11-12,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Lesotho,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1971-11-04,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Liberia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1976-11-05,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Libya,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1968-07-03,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Liechtenstein,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2000-03-01,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Lithuania,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1998-12-10,1998-06-08,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Luxembourg,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1978-05-01,1967-12-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Madagascar,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1969-02-07,1967-12-18,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Malawi,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1996-06-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Maldives,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1984-04-24,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mali,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1974-07-16,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Malta,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-05-27,1968-09-05,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Marshall Islands,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,2019-04-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mauritania,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1988-12-13,1966-12-21,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mauritius,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1972-05-30,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mexico,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1975-02-20,1966-11-01,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Monaco,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1995-09-27,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mongolia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1969-08-06,1966-05-03,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Montenegro,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Succession,2006-10-23,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Morocco,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1970-12-18,1967-09-18,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Mozambique,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1983-04-18,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Namibia,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1982-11-11,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Nauru,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,,,2001-11-12,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Nepal,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1971-01-30,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Netherlands (Kingdom of the),cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1971-12-10,1966-10-24,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
New Zealand,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1972-11-22,1966-10-25,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Nicaragua,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Accession,1978-02-15,,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
Niger,cerd,International Convention on the Elimination of All Forms of Racial Discrimination,Ratification,1967-04-27,1966-03-14,1965,IV-2,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-2&chapter=4&clang=_en
