"domain","n_theory_items","n_theory_pos_v7","n_data_items","n_data_pos_v7","testB_cor_dim1","testB_cor_dim2","testC_cor_dim1","testC_cor_dim2","testC_beta1_flip_cor","testC_setA_flip_prop"
"investment",0,0,3,0,0.9985227157657,0.995774548748021,-0.9985227157657,0.995774548748021,0.997615491773335,NA
"security",0,0,3,0,0.789119457042686,0.635946237221774,-0.789119457042686,0.635946237221774,0.998911401190717,NA
"environment",2,2,3,3,0.999513554625572,0.997088806732594,-0.999513554625572,0.997088806732594,0.99731420994068,1
"human_rights",1,0,3,0,0.976724373657971,0.986020835389643,-0.978608487675048,0.98512354682596,0.993217384080697,1
"arms_control",2,2,3,3,0.983378699383399,0.999694197889521,-0.983378699383399,0.999694197889521,0.981770451097494,1
"intellectual_property",1,1,3,3,0.996744257507093,0.998978411530643,-0.996744257507093,0.998978411530643,0.996293970282242,1
