country_iso3,period,ideal_point
AFG,1990-1994,0
AGO,1990-1994,0
ALB,1990-1994,0.23123738061542978
AND,1990-1994,0.2785808265015335
ARE,1990-1994,0
ARM,1990-1994,0.45117633711547833
ATG,1990-1994,0
AUS,1990-1994,0
AUT,1990-1994,0.2989282481539369
AZE,1990-1994,0.44828707168259607
BDI,1990-1994,0
BEL,1990-1994,0.29124082956572717
BEN,1990-1994,0
BFA,1990-1994,0
BGD,1990-1994,0
BGR,1990-1994,0.06008086005274564
BHR,1990-1994,0.30051718167742925
BIH,1990-1994,0.2932413906502449
BLR,1990-1994,0.4406299236720647
BLZ,1990-1994,0.2988991543003604
BRA,1990-1994,0
BRB,1990-1994,0
BWA,1990-1994,0
CAF,1990-1994,0
CAN,1990-1994,0.315225803120533
CHE,1990-1994,0.2988701867224507
CHL,1990-1994,0
CHN,1990-1994,0.3172518488570384
CIV,1990-1994,0
CMR,1990-1994,0
COD,1990-1994,0
COG,1990-1994,0
COL,1990-1994,0.326117605719693
COM,1990-1994,0.29875819378423835
CPV,1990-1994,0
CUB,1990-1994,0
CYP,1990-1994,0.2988875189120838
CZE,1990-1994,0.1482032326902551
DEU,1990-1994,0.1831159024382312
DJI,1990-1994,0
DMA,1990-1994,0
DNK,1990-1994,0.3054096269234095
DOM,1990-1994,0
DZA,1990-1994,0
ECU,1990-1994,0
EGY,1990-1994,0
ERI,1990-1994,0
ESP,1990-1994,0.14573887180975137
EST,1990-1994,0.16331764183451544
ETH,1990-1994,0
FIN,1990-1994,0.3352466584691573
FJI,1990-1994,0
FRA,1990-1994,0.14788361616820722
GAB,1990-1994,0
GBR,1990-1994,0.29124082956572717
GEO,1990-1994,0.44535644726280005
GHA,1990-1994,0
GIN,1990-1994,0
GMB,1990-1994,0
GNB,1990-1994,0
GNQ,1990-1994,0
GRC,1990-1994,0.2639704563300981
GRD,1990-1994,0
GTM,1990-1994,0
GUY,1990-1994,0.29887622603222097
HND,1990-1994,0
HRV,1990-1994,0.19837258753313577
HUN,1990-1994,0.08641786217243531
IDN,1990-1994,0.29891450529333446
IND,1990-1994,0.30984769406227547
IRL,1990-1994,0.29124082956572717
IRN,1990-1994,0
IRQ,1990-1994,0
ISL,1990-1994,0.2988701867224507
ISR,1990-1994,0.3017665639338858
ITA,1990-1994,0.2994377649326327
JOR,1990-1994,0.3001263280316786
JPN,1990-1994,0
KAZ,1990-1994,0.5326095011408287
KEN,1990-1994,0
KGZ,1990-1994,0.5034770825529441
KHM,1990-1994,0.2989003326872293
KNA,1990-1994,0
KOR,1990-1994,0.3187072197633914
KWT,1990-1994,0
LAO,1990-1994,0.29890653925759436
LBN,1990-1994,0.29998888068389556
LBR,1990-1994,0.3003061249993098
LBY,1990-1994,0
LCA,1990-1994,0
LIE,1990-1994,0.2988701867224507
LKA,1990-1994,0
LSO,1990-1994,0
LTU,1990-1994,0.15316896462483118
LUX,1990-1994,0.29124082956572717
LVA,1990-1994,0.21882091275971002
MAR,1990-1994,0.29017894024838475
MCO,1990-1994,0.2988701867224507
MDA,1990-1994,0.16851926671184733
MDG,1990-1994,0
MKD,1990-1994,0
MLI,1990-1994,0
MLT,1990-1994,0.2988911159845789
MMR,1990-1994,0
MNE,1990-1994,0
MNG,1990-1994,0.3304194570699053
MOZ,1990-1994,0
MRT,1990-1994,0
MUS,1990-1994,0
MWI,1990-1994,0
NAM,1990-1994,0
NER,1990-1994,0
NGA,1990-1994,0
NIC,1990-1994,0
NLD,1990-1994,0.29124082956572717
NOR,1990-1994,0.2988701867224507
NZL,1990-1994,0
OMN,1990-1994,0
PAK,1990-1994,0
PAN,1990-1994,0
PER,1990-1994,0
PHL,1990-1994,0
POL,1990-1994,0.017746774070573294
PRK,1990-1994,0.3006794963943326
PRT,1990-1994,0.2912216545520694
PRY,1990-1994,0
QAT,1990-1994,0
ROU,1990-1994,0.060164010975029
RUS,1990-1994,0.8308920217854777
RWA,1990-1994,0
SAU,1990-1994,0.30054251877806093
SDN,1990-1994,0
SEN,1990-1994,0
SLE,1990-1994,0
SLV,1990-1994,0
SMR,1990-1994,0.2988701867224507
SOM,1990-1994,0
SSD,1990-1994,0
STP,1990-1994,0
SVK,1990-1994,0.11391840445030309
SVN,1990-1994,0.2867408513588817
SWE,1990-1994,0.2989282481539369
SWZ,1990-1994,0
SYC,1990-1994,0
SYR,1990-1994,0.29998888068389556
TCD,1990-1994,0
TGO,1990-1994,0
TJK,1990-1994,0.47197036384573093
TKM,1990-1994,0.3213098895623777
TLS,1990-1994,0
TON,1990-1994,0
TUN,1990-1994,0
TUR,1990-1994,0.11946647392708226
TZA,1990-1994,0
UGA,1990-1994,0
