country_iso3,period,ideal_point
AFG,1990-1994,0
AGO,1990-1994,0
ALB,1990-1994,-0.4370467439201341
AND,1990-1994,0
ARE,1990-1994,0
ARG,1990-1994,0
ARM,1990-1994,0
ATG,1990-1994,0
AUS,1990-1994,-1.3561036748624917
AUT,1990-1994,-1.3142505477471853
AZE,1990-1994,0
BDI,1990-1994,0
BEL,1990-1994,0
BEN,1990-1994,0
BFA,1990-1994,0
BGD,1990-1994,0
BGR,1990-1994,-1.3561036748624917
BHR,1990-1994,0
BHS,1990-1994,0
BIH,1990-1994,-0.48903384550581563
BLR,1990-1994,0
BLZ,1990-1994,0
BOL,1990-1994,0
BRA,1990-1994,0
BRB,1990-1994,0
BRN,1990-1994,0
BTN,1990-1994,0
BWA,1990-1994,0
CAF,1990-1994,0
CAN,1990-1994,-0.48444913054941074
CHE,1990-1994,0
CHL,1990-1994,0.12814205971651166
CHN,1990-1994,0
CIV,1990-1994,0
CMR,1990-1994,0
COD,1990-1994,0
COG,1990-1994,0
COK,1990-1994,0.5111737311087844
COL,1990-1994,0
COM,1990-1994,0
CPV,1990-1994,0
CRI,1990-1994,0
CUB,1990-1994,0
CYP,1990-1994,0
CZE,1990-1994,-0.9461673139454708
DEU,1990-1994,-1.2052785475390342
DJI,1990-1994,0
DMA,1990-1994,0.5329699121234228
DNK,1990-1994,0
DOM,1990-1994,0
DZA,1990-1994,0.8106308006805076
ECU,1990-1994,0
ERI,1990-1994,0
ESP,1990-1994,-1.4752361879019857
EST,1990-1994,0
ETH,1990-1994,0
FIN,1990-1994,0
FJI,1990-1994,-0.42307217272969727
FRA,1990-1994,0
FSM,1990-1994,0
GAB,1990-1994,0
GBR,1990-1994,0
GEO,1990-1994,0
GHA,1990-1994,0
GIN,1990-1994,0
GMB,1990-1994,0
GNB,1990-1994,0
GNQ,1990-1994,0
GRC,1990-1994,-0.34400434881343633
GRD,1990-1994,0
GTM,1990-1994,0
GUY,1990-1994,0
HND,1990-1994,0
HRV,1990-1994,-0.9279228627733557
HTI,1990-1994,0
HUN,1990-1994,0
IDN,1990-1994,0
IND,1990-1994,0
IRL,1990-1994,0
IRN,1990-1994,0
IRQ,1990-1994,0
ISL,1990-1994,0
ISR,1990-1994,0
ITA,1990-1994,0
JAM,1990-1994,0
JOR,1990-1994,0
JPN,1990-1994,0
KAZ,1990-1994,0
KEN,1990-1994,0
KGZ,1990-1994,0
KHM,1990-1994,0
KIR,1990-1994,0
KNA,1990-1994,0
KOR,1990-1994,0
KWT,1990-1994,0
LAO,1990-1994,0
LBN,1990-1994,0
LBR,1990-1994,0
LBY,1990-1994,0
LCA,1990-1994,-0.05484782764084027
LIE,1990-1994,0
LKA,1990-1994,0.3431448572719311
LSO,1990-1994,-0.5926154665851691
LTU,1990-1994,0
LUX,1990-1994,0
LVA,1990-1994,-0.06655116016652164
MAR,1990-1994,0
MCO,1990-1994,0
MDA,1990-1994,0
MDG,1990-1994,0
MDV,1990-1994,0.6837999952621432
MEX,1990-1994,-1.4714162183741162
MHL,1990-1994,0
MKD,1990-1994,0
MLI,1990-1994,0
MLT,1990-1994,0
MMR,1990-1994,0
MNE,1990-1994,0
MNG,1990-1994,0
MOZ,1990-1994,0
MRT,1990-1994,0
MUS,1990-1994,0.24558896130920044
MWI,1990-1994,0
MYS,1990-1994,0
NAM,1990-1994,0
NER,1990-1994,-0.3147882375962257
NGA,1990-1994,0
NIC,1990-1994,0
NIU,1990-1994,0
NLD,1990-1994,0
NOR,1990-1994,-1.4752361879019857
NPL,1990-1994,0
NRU,1990-1994,0
NZL,1990-1994,1.702532449404626
OMN,1990-1994,0
PAK,1990-1994,0
PAN,1990-1994,0
PER,1990-1994,0
PHL,1990-1994,0
PLW,1990-1994,0
PNG,1990-1994,0
POL,1990-1994,0
PRT,1990-1994,0
PRY,1990-1994,-0.1327561252582468
PSE,1990-1994,0
QAT,1990-1994,0
ROU,1990-1994,0
RUS,1990-1994,0
RWA,1990-1994,0
SAU,1990-1994,0
SDN,1990-1994,0
SEN,1990-1994,0
SGP,1990-1994,0
SLB,1990-1994,0
SLE,1990-1994,0
SLV,1990-1994,0
SMR,1990-1994,0
SOM,1990-1994,0
SRB,1990-1994,0
SSD,1990-1994,0
STP,1990-1994,0
SUR,1990-1994,0
SVK,1990-1994,-0.9527503820301063
SVN,1990-1994,-1.050669898209712
SWE,1990-1994,-1.3561036748624917
SWZ,1990-1994,0
SYC,1990-1994,0.18517474705001932
SYR,1990-1994,0
TCD,1990-1994,0
TGO,1990-1994,0
THA,1990-1994,0
TJK,1990-1994,0
TKM,1990-1994,-0.10061451476708769
TLS,1990-1994,0
TON,1990-1994,0
