country_iso3,period,ideal_point
ABW,1990-1994,0.16331134801595232
AFG,1990-1994,0
AGO,1990-1994,-0.04569327605232233
AIA,1990-1994,0.04707915454088756
ALB,1990-1994,-0.0893463996048583
AND,1990-1994,0
ARE,1990-1994,-0.04567566232084572
ARG,1990-1994,0
ARM,1990-1994,0.01203861284368962
ATG,1990-1994,-0.02641613209967749
AUS,1990-1994,-0.028971040595545523
AUT,1990-1994,-0.04569368712899724
AZE,1990-1994,-0.0473953209189223
BDI,1990-1994,0.010199252869831454
BEL,1990-1994,-0.10953426262500551
BEN,1990-1994,0
BFA,1990-1994,-0.09361358072529254
BGD,1990-1994,0.002031278305222028
BGR,1990-1994,0
BHR,1990-1994,-0.053533265462207484
BHS,1990-1994,-0.03432570081746169
BIH,1990-1994,0
BLR,1990-1994,-0.045771013896065714
BLZ,1990-1994,0
BMU,1990-1994,-0.013761260179809706
BOL,1990-1994,-0.1275517008776859
BRA,1990-1994,0.13783036272802848
BRB,1990-1994,0.13248793149750832
BRN,1990-1994,-0.14875615752639051
BTN,1990-1994,0
BWA,1990-1994,0
CAF,1990-1994,-0.02222129789618551
CAN,1990-1994,-0.0936140441032306
CHN,1990-1994,-0.042496263254831954
CIV,1990-1994,0
CMR,1990-1994,0
COD,1990-1994,0
COG,1990-1994,0
COK,1990-1994,-0.1096890086201313
COL,1990-1994,-0.13438531518919128
COM,1990-1994,-0.0962107053007426
CPV,1990-1994,-0.0936140441032306
CRI,1990-1994,0.13838371459702478
CUB,1990-1994,0.15472691218966236
CUW,1990-1994,0.3389842912431647
CYP,1990-1994,-0.16913068939094147
CZE,1990-1994,0.22161011135556488
DEU,1990-1994,-0.09103266804812124
DJI,1990-1994,-0.04569368712899724
DMA,1990-1994,0
DNK,1990-1994,-0.09951794059256114
DOM,1990-1994,0
DZA,1990-1994,0
ECU,1990-1994,-0.2557809958646864
EGY,1990-1994,-0.04096022075695772
ERI,1990-1994,0.2014242765558602
ESP,1990-1994,0.11559340749619751
EST,1990-1994,-0.13450862615398637
FIN,1990-1994,0.18638330893903055
FJI,1990-1994,0.21885371699752487
FLK,1990-1994,0
FRO,1990-1994,0
FSM,1990-1994,0.019440671957563757
GAB,1990-1994,-0.09106295299167577
GBR,1990-1994,0.05023092142612289
GEO,1990-1994,0.15459613838428277
GIB,1990-1994,0.17149778110040576
GIN,1990-1994,-0.04569428306829626
GMB,1990-1994,-0.028660557491404774
GNB,1990-1994,-0.04569368712899724
GNQ,1990-1994,-0.13438472140430593
GRC,1990-1994,0
GRL,1990-1994,-0.04569368712899724
GTM,1990-1994,-0.09377272214011877
GUF,1990-1994,0
GUM,1990-1994,0
HKG,1990-1994,0.010843142719771557
HND,1990-1994,0.1655525793466981
HRV,1990-1994,0
HTI,1990-1994,-0.035397010244961835
HUN,1990-1994,0.005281561232182271
IDN,1990-1994,0
IMN,1990-1994,0.14724308649225606
IND,1990-1994,0
IRL,1990-1994,0.0010897574118757022
IRN,1990-1994,0.10745507283046477
ISL,1990-1994,-0.03682978607039829
ISR,1990-1994,-0.03420287259181049
ITA,1990-1994,-0.041287363456505834
JAM,1990-1994,0
JOR,1990-1994,0
JPN,1990-1994,-0.034827226316354695
KAZ,1990-1994,0
KEN,1990-1994,0.02096003771277518
KGZ,1990-1994,0
KHM,1990-1994,-0.08100937095755205
KIR,1990-1994,-0.014137506895222456
KNA,1990-1994,-0.04569368714314642
KOR,1990-1994,-0.0391074798917944
KWT,1990-1994,0.1906294820649584
LAO,1990-1994,-0.1275508177876429
LBN,1990-1994,-0.1584765842610049
LBR,1990-1994,0.2129751337111438
LBY,1990-1994,0.1324564633568056
LCA,1990-1994,0
LIE,1990-1994,0.004987976372058997
LKA,1990-1994,0
LSO,1990-1994,0
LTU,1990-1994,0
LUX,1990-1994,-0.08305938965788703
LVA,1990-1994,-0.09367464745774687
MAC,1990-1994,-0.16930649437594705
MAR,1990-1994,-0.12752970245667247
MCO,1990-1994,-0.045693130706108975
MDA,1990-1994,-0.040033769544294225
MDG,1990-1994,-0.0163349155956011
MDV,1990-1994,0.1263649909457787
MHL,1990-1994,-0.09361419807943323
MKD,1990-1994,-0.024776986906555377
MLI,1990-1994,0
MMR,1990-1994,-0.046892573991532814
MNE,1990-1994,-0.12749128710992497
MNG,1990-1994,-0.09368033992087339
MNP,1990-1994,-0.0500351096889734
MOZ,1990-1994,0
MSR,1990-1994,0
MTQ,1990-1994,-0.1693779454033583
MUS,1990-1994,-0.03953814321665834
MWI,1990-1994,0
MYS,1990-1994,-0.05678545301079426
MYT,1990-1994,0
NCL,1990-1994,-0.10953414526089433
NFK,1990-1994,0
NIC,1990-1994,0
NIU,1990-1994,0.08553815930850373
NLD,1990-1994,-0.04418155351973639
NOR,1990-1994,-0.047668126246528955
NPL,1990-1994,-0.04010266746261302
NRU,1990-1994,0
NZL,1990-1994,-0.11885282062052838
OMN,1990-1994,-0.04450826547388082
PAK,1990-1994,-0.03606806514865331
PAN,1990-1994,-0.03285306914578201
PER,1990-1994,0.4125434912443087
PHL,1990-1994,0.16943361716350375
PLW,1990-1994,0.01467016324638546
PNG,1990-1994,-0.02791283236036777
POL,1990-1994,-0.040326082851725675
PRK,1990-1994,-0.028082744545167338
PRT,1990-1994,-0.03929780153087498
PYF,1990-1994,-0.0936136320164005
QAT,1990-1994,0.28195686031259704
REU,1990-1994,-0.0074862618919499515
ROU,1990-1994,-0.13438532640412928
RUS,1990-1994,0
RWA,1990-1994,-0.04569368712899724
SAU,1990-1994,-0.02504622362014517
SDN,1990-1994,-0.05603581415189367
SEN,1990-1994,0.268914986086083
SGP,1990-1994,-0.12752088548786772
SHN,1990-1994,0
SLB,1990-1994,-0.13456480794767697
SLE,1990-1994,-0.08305947167676735
SLV,1990-1994,-0.09361404430131001
SMR,1990-1994,-0.040254642329434175
SOM,1990-1994,-0.04569368721464351
SPM,1990-1994,-0.0936140441032306
SRB,1990-1994,0.13620191388537914
SSD,1990-1994,0.2126961011597311
STP,1990-1994,-0.16906526583236378
SUR,1990-1994,-0.016620464821314105
SVK,1990-1994,0.27852792763572487
SVN,1990-1994,-0.039749876781085026
SWE,1990-1994,-0.10953414526089433
SWZ,1990-1994,0
SXM,1990-1994,-0.09361548736055725
SYC,1990-1994,0
SYR,1990-1994,0
TCD,1990-1994,0.09353868398846174
TGO,1990-1994,0
THA,1990-1994,-0.007617533102428226
TJK,1990-1994,-0.14390392261250973
TKL,1990-1994,-0.1344541192436275
TKM,1990-1994,0.01750079617718086
TLS,1990-1994,0
TON,1990-1994,-0.014932943282074233
TTO,1990-1994,-0.027809117248214818
TUN,1990-1994,-0.10418115891308266
TUR,1990-1994,-0.12769717601597488
TUV,1990-1994,0.035627192606711544
TWN,1990-1994,-0.05304771827469345
TZA,1990-1994,0
UGA,1990-1994,-0.04710229433881937
UKR,1990-1994,0
URY,1990-1994,-0.16929303580321026
USA,1990-1994,-0.04004409483534405
VAT,1990-1994,-0.014168749069817995
VCT,1990-1994,-0.05690052011983348
VGB,1990-1994,-0.10953471740407143
VNM,1990-1994,0.1263239990874892
VUT,1990-1994,0
WSM,1990-1994,-0.10957956437392898
ZAF,1990-1994,-0.16920346551577417
ABW,1995-1999,0.18286990049695756
AFG,1995-1999,0.003887861811823541
AGO,1995-1999,-0.003761054637795263
AIA,1995-1999,0.013225752472108717
ALB,1995-1999,0.002196668762326733
AND,1995-1999,0
ARE,1995-1999,-0.018876808760089257
ARG,1995-1999,0
ARM,1995-1999,-0.04252816632239992
ATG,1995-1999,0.023382509810710776
AUS,1995-1999,0.021903802203150118
AUT,1995-1999,-0.003783857437458517
AZE,1995-1999,-0.009688235571371877
BDI,1995-1999,-0.15299956109130955
BEL,1995-1999,-0.007388745519979131
BEN,1995-1999,0
BFA,1995-1999,-0.004016870020640561
BGD,1995-1999,0.024011090516658274
BGR,1995-1999,0.012311177494724898
BHR,1995-1999,-0.03496982078924283
BHS,1995-1999,-0.02297860658184112
BIH,1995-1999,0
BLR,1995-1999,-0.008150470110614691
BLZ,1995-1999,0
BMU,1995-1999,-0.06496393253498312
BOL,1995-1999,-0.00428465229511221
BRA,1995-1999,0.21898159885355548
BRB,1995-1999,0.16844516433752052
BRN,1995-1999,-0.004379230268478376
BTN,1995-1999,0.0051795229781359045
BWA,1995-1999,-0.006984099747031679
CAF,1995-1999,-0.11098700832248942
CAN,1995-1999,-0.00404206576657068
CHN,1995-1999,-0.02246277363472128
CIV,1995-1999,-0.0918328628597188
CMR,1995-1999,0
COD,1995-1999,-0.002347089580181442
COG,1995-1999,0
COK,1995-1999,-0.015503642710117208
COL,1995-1999,-0.0042958152294994825
COM,1995-1999,-0.004032246893367185
CPV,1995-1999,-0.00404206576657068
CRI,1995-1999,0.19729424002849794
CUB,1995-1999,0.15604754037272478
CUW,1995-1999,0.23140332156826435
CYP,1995-1999,-0.004498130389850391
CZE,1995-1999,0.17404845759830975
DEU,1995-1999,-0.005646271188735824
DJI,1995-1999,-0.003783857437458517
DMA,1995-1999,-0.005199768550838506
DNK,1995-1999,-0.004137023060756535
DOM,1995-1999,-0.11786378623519579
DZA,1995-1999,0
ECU,1995-1999,-0.11485448921185282
EGY,1995-1999,-0.03269427764250497
ERI,1995-1999,0.1850515485133523
ESP,1995-1999,-0.11017089608201018
EST,1995-1999,-0.010476024894722793
FIN,1995-1999,0.18769096259048554
FJI,1995-1999,0.1782626267357881
FLK,1995-1999,-0.006575572138139424
FRO,1995-1999,0
FSM,1995-1999,0.022009387610856232
GAB,1995-1999,-0.007253147886629035
GBR,1995-1999,0.04534302461472416
GEO,1995-1999,0.2176837816793714
GIB,1995-1999,0.19211548897703612
GIN,1995-1999,-0.003816870336212187
GMB,1995-1999,0.03900658721039082
GNB,1995-1999,-0.003783857437458517
GNQ,1995-1999,-0.00426605318787203
GRC,1995-1999,0
GRL,1995-1999,-0.003783857437458517
GTM,1995-1999,-0.012544142118377283
GUF,1995-1999,0
GUM,1995-1999,0
HKG,1995-1999,-0.011832375405425413
HND,1995-1999,0.1885773976994895
HRV,1995-1999,0
HTI,1995-1999,-0.0055078616666447665
HUN,1995-1999,0.018061307278916902
IDN,1995-1999,0
IMN,1995-1999,0.20659538263368532
IND,1995-1999,-0.007638135634468128
IRL,1995-1999,0.024001671037227477
IRN,1995-1999,0.15227708609764046
ISL,1995-1999,-0.039759866675841034
ISR,1995-1999,-0.007987344715988276
ITA,1995-1999,3.4817280204912904e-4
JAM,1995-1999,0.002854796447162912
JOR,1995-1999,0
JPN,1995-1999,0.04568292485536382
KAZ,1995-1999,-0.001049433134952872
KEN,1995-1999,-0.032597453886736724
KGZ,1995-1999,-0.014624776252747253
KHM,1995-1999,-0.008768422345910187
KIR,1995-1999,0.021530486955890292
KNA,1995-1999,-0.003783858140088323
KOR,1995-1999,0.0036359806914156565
KWT,1995-1999,0.20687056210422478
LAO,1995-1999,-0.004238274906603447
LBN,1995-1999,-0.006805808062620864
LBR,1995-1999,0.19391925786478825
LBY,1995-1999,0.16541229966061802
LCA,1995-1999,0
LIE,1995-1999,-0.003563556834713874
LKA,1995-1999,-0.01903223426396486
LSO,1995-1999,0
LTU,1995-1999,0.011111815571073286
LUX,1995-1999,-0.003995281725600735
LVA,1995-1999,-0.007280839057608209
MAC,1995-1999,-0.01244670151152293
MAR,1995-1999,-0.0031405959199828177
MCO,1995-1999,-0.003753572241154687
MDA,1995-1999,0.018827082809721268
MDG,1995-1999,-0.049316166258266014
MDV,1995-1999,0.15089277419948835
MHL,1995-1999,-0.004050298156196117
MKD,1995-1999,0.002465947750617443
MLI,1995-1999,0
MMR,1995-1999,0.016382698782881625
MNE,1995-1999,-0.001129379187026039
MNG,1995-1999,-0.007682633165489018
MNP,1995-1999,-0.008485963367549717
MOZ,1995-1999,0
MSR,1995-1999,-0.010870151456172625
MTQ,1995-1999,-0.015501827787471651
MUS,1995-1999,-0.025304305756347595
MWI,1995-1999,0
MYS,1995-1999,-0.008705029750337604
MYT,1995-1999,0
NCL,1995-1999,-0.007382715707344359
NFK,1995-1999,0.009842911703876446
NIC,1995-1999,0
NIU,1995-1999,-0.019666000523079836
