country_iso3,period,ideal_point
AFG,1990-1994,0
AGO,1990-1994,0
ALB,1990-1994,0.38412998083356564
AND,1990-1994,-0.9581188115587895
ARE,1990-1994,0
ARG,1990-1994,0.3238099108183245
ARM,1990-1994,0.8068094935434306
ATG,1990-1994,0
AUS,1990-1994,1.3807583066596818
AUT,1990-1994,0.010325612175888746
AZE,1990-1994,0
BDI,1990-1994,0
BEL,1990-1994,0
BEN,1990-1994,0
BFA,1990-1994,0
BGD,1990-1994,-0.9581188115587895
BGR,1990-1994,0
BHR,1990-1994,0
BIH,1990-1994,0.41244662766418794
BLR,1990-1994,0.6140562681645892
BLZ,1990-1994,0
BOL,1990-1994,-0.9581188115587895
BRA,1990-1994,0
BRN,1990-1994,-0.8751273278427065
BTN,1990-1994,-0.9581188115587895
BWA,1990-1994,0
CAN,1990-1994,0
CHE,1990-1994,1.3301841112930632
CHL,1990-1994,0.6105792414009367
CHN,1990-1994,0.08019969807324669
CIV,1990-1994,-0.9581188115587895
COK,1990-1994,0
COL,1990-1994,0.4778162635499582
COM,1990-1994,0
CPV,1990-1994,0
CRI,1990-1994,0
CUB,1990-1994,-0.9581188115587895
CYP,1990-1994,1.0323704620558416
CZE,1990-1994,1.2670801225865247
DEU,1990-1994,0.4606000846601466
DJI,1990-1994,0
DMA,1990-1994,0
DNK,1990-1994,0
DOM,1990-1994,0
DZA,1990-1994,0
ECU,1990-1994,0.3974218825140459
EGY,1990-1994,0.1405125201667553
ERI,1990-1994,0
ESP,1990-1994,1.2904685138738292
EST,1990-1994,0.8496131107888393
ETH,1990-1994,0
FIN,1990-1994,0
FRA,1990-1994,0
FSM,1990-1994,0
GAB,1990-1994,0
GBR,1990-1994,0
GEO,1990-1994,0.3276784025152475
GHA,1990-1994,-0.2772771186137433
GIN,1990-1994,1.2670801225865247
GMB,1990-1994,-0.9581188115587895
GNB,1990-1994,-0.9581188115587895
GNQ,1990-1994,0
GRC,1990-1994,0.010325612175888746
GRD,1990-1994,0
GTM,1990-1994,0
GUY,1990-1994,-0.9581188115587895
HND,1990-1994,0.6658347108386179
HRV,1990-1994,1.1560682249127507
HTI,1990-1994,0
HUN,1990-1994,1.7339451153147465
IDN,1990-1994,0
IND,1990-1994,0
IRL,1990-1994,1.0754405251768806
IRN,1990-1994,0
IRQ,1990-1994,0
ISL,1990-1994,-0.62778572878414
ISR,1990-1994,0
ITA,1990-1994,0
JAM,1990-1994,0.3276784025152475
JOR,1990-1994,0
JPN,1990-1994,0
KAZ,1990-1994,1.1086517760855208
KEN,1990-1994,-0.8683253336068477
KGZ,1990-1994,1.5699639016818159
KHM,1990-1994,0
KIR,1990-1994,0
KNA,1990-1994,0
KOR,1990-1994,0
KWT,1990-1994,0
LAO,1990-1994,-0.9581188115587895
LBN,1990-1994,0
LBR,1990-1994,-0.8178042804170377
LBY,1990-1994,0
LCA,1990-1994,0.22699132507105502
LIE,1990-1994,0
LKA,1990-1994,0
LSO,1990-1994,0
LTU,1990-1994,1.7130154029176086
LUX,1990-1994,0
LVA,1990-1994,1.8813669268771558
MAR,1990-1994,-0.4815970317105682
MCO,1990-1994,0
MDA,1990-1994,2.5265526375505116
MDG,1990-1994,0
MDV,1990-1994,0
MEX,1990-1994,0.35053193078587797
MHL,1990-1994,0
MKD,1990-1994,0.8068094935434306
MLI,1990-1994,0
MLT,1990-1994,0
MMR,1990-1994,0
MNE,1990-1994,0
MNG,1990-1994,0.6370686226366525
MOZ,1990-1994,0
MWI,1990-1994,-0.8683253336068477
MYS,1990-1994,-0.8172650326741475
NAM,1990-1994,-0.9581188115587895
NER,1990-1994,-0.9581188115587895
NGA,1990-1994,-0.3276781981935991
NIC,1990-1994,0
NIU,1990-1994,0
NLD,1990-1994,1.2904685138738292
NOR,1990-1994,0
NPL,1990-1994,0
NZL,1990-1994,-0.562812500453521
OMN,1990-1994,0
PAK,1990-1994,0
PAN,1990-1994,0
PER,1990-1994,0
PHL,1990-1994,0
PNG,1990-1994,0
POL,1990-1994,0.7267898932150476
PRK,1990-1994,-0.6232453146732391
PRT,1990-1994,0.010325612175888746
PRY,1990-1994,0.3974218825140459
QAT,1990-1994,0
ROU,1990-1994,1.953856094975523
RUS,1990-1994,1.431286052486761
RWA,1990-1994,0
SAU,1990-1994,0
SDN,1990-1994,0
SEN,1990-1994,0
SGP,1990-1994,0.3712444605400172
SLE,1990-1994,0
SLV,1990-1994,0.7671481639417829
SMR,1990-1994,-0.9581188115587895
SRB,1990-1994,1.7130154029176086
STP,1990-1994,0
SVK,1990-1994,1.9431417477416641
SVN,1990-1994,1.1042371173829912
SWE,1990-1994,0.4202317625006857
SWZ,1990-1994,-0.9581188115587895
