reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2011,0102,1.0000000000000002,5,0
BRA,2011,0103,1.3333333333333333,3,0
BRA,2011,0104,0.833333343267441,2,0
BRA,2011,0105,2.3333333333333335,6,0
BRA,2011,0201,10.666666666666666,3,0
BRA,2011,0202,10.666666666666666,3,0
BRA,2011,0203,10,6,0
BRA,2011,0204,10,9,0
BRA,2011,0205,10,1,0
BRA,2011,0206,10,9,0
BRA,2011,0208,10.000000000000002,6,0
BRA,2011,0209,6,2,0
BRA,2011,0210,10,4,0
BRA,2011,0301,6.000000000000002,8,0
BRA,2011,0302,9.523809523809529,42,0
BRA,2011,0303,10.000000000000004,37,0
BRA,2011,0305,7.499999960263572,20,0
BRA,2011,0306,10,14,0
BRA,2011,0307,10.000000000000004,17,0
BRA,2011,0308,10.000000000000002,6,0
BRA,2011,0401,12.888888994852701,4,0
BRA,2011,0402,15.2,5,0
BRA,2011,0403,16,2,0
BRA,2011,0404,14,2,0
BRA,2011,0406,16,5,0
BRA,2011,0407,2.66666674613953,5,0
BRA,2011,0408,10,4,0
BRA,2011,0409,16,1,0
BRA,2011,0410,14,1,0
BRA,2011,0501,8,1,0
BRA,2011,0502,8,2,0
BRA,2011,0504,7.19999980926514,1,0
BRA,2011,0505,8,2,0
BRA,2011,0506,8,2,0
BRA,2011,0507,8,2,0
BRA,2011,0508,8,1,0
BRA,2011,0510,1,1,0
BRA,2011,0511,2.400000015894573,3,0
BRA,2011,0601,0,2,0
BRA,2011,0602,2,4,0
BRA,2011,0603,10,1,0
BRA,2011,0604,8,2,0
BRA,2011,0701,5,2,0
BRA,2011,0702,10,1,0
BRA,2011,0703,9.166666666666666,3,0
BRA,2011,0704,10,3,0
BRA,2011,0705,10,4,0
BRA,2011,0706,10,2,0
BRA,2011,0707,10,1,0
BRA,2011,0708,10,3,0
BRA,2011,0709,9.642857142857144,10,0
BRA,2011,0710,10,8,0
BRA,2011,0711,9.999999999999998,5,0
BRA,2011,0712,10,2,0
BRA,2011,0713,5,12,0
BRA,2011,0714,10,6,0
BRA,2011,0802,9.111111111111114,15,0
BRA,2011,0803,10,2,0
BRA,2011,0804,10,5,0
BRA,2011,0805,10,4,0
BRA,2011,0806,10,2,0
BRA,2011,0807,10,1,0
BRA,2011,0808,10,3,0
BRA,2011,0809,10,5,0
BRA,2011,0810,10,7,0
BRA,2011,0811,10,3,0
BRA,2011,0812,10,2,0
BRA,2011,0813,10,5,0
BRA,2011,0814,10,1,0
BRA,2011,0901,10,4,0
BRA,2011,0902,10,4,0
BRA,2011,0903,10,1,0
BRA,2011,0904,10,4,0
BRA,2011,0905,10,2,0
BRA,2011,0906,10,1,0
BRA,2011,0907,10,2,0
BRA,2011,0908,10,6,0
BRA,2011,0909,10,6,0
BRA,2011,0910,10,6,0
BRA,2011,1001,5,4,0
BRA,2011,1002,4,2,0
BRA,2011,1003,7.5,2,0
BRA,2011,1004,4,2,0
BRA,2011,1005,4,2,0
BRA,2011,1006,9.416666626930237,4,0
BRA,2011,1007,4,2,0
BRA,2011,1008,4,8,0
BRA,2011,1101,12,1,0
BRA,2011,1102,10,2,0
BRA,2011,1103,10,3,0
BRA,2011,1104,10,6,0
BRA,2011,1105,12,2,0
BRA,2011,1106,10,3,0
BRA,2011,1107,14,2,0
BRA,2011,1108,10,6,0
BRA,2011,1109,10,1,0
BRA,2011,1201,4,2,0
BRA,2011,1202,6.5,3,0
BRA,2011,1203,8,1,0
BRA,2011,1204,4,1,0
BRA,2011,1206,4,1,0
BRA,2011,1207,4.160000038146973,7,0
BRA,2011,1208,10,2,0
BRA,2011,1209,0,9,0
BRA,2011,1210,8,2,0
BRA,2011,1211,8,4,0
BRA,2011,1212,7.333333333333333,5,0
BRA,2011,1213,8,1,0
BRA,2011,1214,8,2,0
BRA,2011,1301,5,2,0
BRA,2011,1302,8.09375,8,0
BRA,2011,1401,6,3,0
BRA,2011,1404,6,2,0
BRA,2011,1501,8,3,0
BRA,2011,1502,6,2,0
BRA,2011,1503,8,1,0
BRA,2011,1504,8.666666666666666,3,0
BRA,2011,1506,6,1,0
BRA,2011,1507,10.66666650772095,2,0
BRA,2011,1508,11,2,0
BRA,2011,1509,10,2,0
BRA,2011,1510,10,1,0
BRA,2011,1511,10,2,0
BRA,2011,1512,10.333333253860475,4,0
BRA,2011,1513,10,4,0
BRA,2011,1515,12.857142857142858,7,0
BRA,2011,1516,10,2,0
BRA,2011,1517,12,2,0
BRA,2011,1518,10,1,0
BRA,2011,1521,10,2,0
BRA,2011,1522,10,1,0
BRA,2011,1601,16,1,0
BRA,2011,1602,16,10,0
BRA,2011,1603,16,1,0
BRA,2011,1604,16.88888888888889,11,0
BRA,2011,1605,16,18,0
BRA,2011,1701,16,5,0
BRA,2011,1702,16,6,0
BRA,2011,1703,16,2,0
BRA,2011,1704,20,2,0
BRA,2011,1801,10,1,0
BRA,2011,1802,10,1,0
BRA,2011,1803,12,2,0
BRA,2011,1804,12,1,0
BRA,2011,1805,14,1,0
BRA,2011,1806,19.2,5,0
BRA,2011,1901,15.6111110051473,3,0
BRA,2011,1902,16,5,0
BRA,2011,1903,16,1,0
BRA,2011,1904,16,4,0
