reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
USA,1990,124,CAN,Canada,No,N/A,0101,2,2,0,2.0833333333333335,4,0,0.08333333333333348,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0106,0,13,0,3.8333332538604714,13,0,3.8333332538604714,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0201,0,1,0,NA,NA,NA,NA,0,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0204,0,2,0,0,1,0,0,0,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0208,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0209,4,2,0,5,2,0,1,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0210,0.4,8,0,7.5,5,0,7.1,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0302,0.9499999947018105,23,0,0.5,19,0,-0.4499999947018105,0,1,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0303,0.6428571428571432,20,0,0.4411764705882353,21,0,-0.20168067226890796,0,1,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0304,1.7999999523162804,6,0,3.0000000000000004,6,0,1.20000004768372,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0305,1.146666669845581,18,0,2.6666666626930238,15,0,1.5199999928474428,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0306,3,2,0,0.75,14,0,-2.25,0,1,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0307,0,1,0,0.45336787564766856,17,0,0.45336787564766856,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0402,14,1,0,17.5,1,0,3.5,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0403,16,1,0,20,1,0,4,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0406,10.040571446872907,5,0,12.4803331375122,5,0,2.439761690639294,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0409,0,1,0,NA,NA,NA,NA,0,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0410,0,1,0,2.5,1,0,2.5,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0501,1.79999995231628,1,0,3.09999990463257,1,0,1.2999999523162902,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0502,0,1,0,0,1,0,0,0,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0505,0,2,0,6.25,2,0,6.25,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0510,2.40000009536743,1,0,4,1,0,1.5999999046325701,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0511,0,1,0,0.2777777711550393,3,0,0.2777777711550393,1,0,HS4,WITS/TRAINS
USA,1990,124,CAN,Canada,No,N/A,0602,3.7666667143503836,3,0,2.828000020980834,5,0,-0.9386666933695498,0,1,HS4,WITS/TRAINS
