"country_iso3","period","ideal_point"
"PAN","1990-1994",0.766381912398339
"PER","1990-1994",0.764447961732966
"PHL","1990-1994",-0.146362790725077
"PLW","1990-1994",-1.85160307101886
"PNG","1990-1994",0.381843354165386
"POL","1990-1994",0.788730398105609
"PRK","1990-1994",0.174722272602827
"PRT","1990-1994",1.27808593612018
"PRY","1990-1994",-0.567912687515328
"PSE","1990-1994",-0.521335514031475
"QAT","1990-1994",-1.1787408361477
"ROU","1990-1994",0.513993320752851
"RUS","1990-1994",1.39914681804397
"RWA","1990-1994",-1.71155776410707
"SAU","1990-1994",-1.78665478000171
"SDN","1990-1994",-0.72717287678553
"SEN","1990-1994",-0.052058215489196
"SGP","1990-1994",0.21650488681601
"SHN","1990-1994",-1.77095180027215
"SLB","1990-1994",-0.36087612990322
"SLE","1990-1994",-1.17583252605705
"SLV","1990-1994",-0.754391037285482
"SMR","1990-1994",-1.82561709703434
"SOM","1990-1994",-1.59295833302162
"SRB","1990-1994",-1.71182224168245
"SSD","1990-1994",-0.424778372129079
"STP","1990-1994",-0.831918837140026
"SUR","1990-1994",0.217436271937804
"SVK","1990-1994",0.74952061236857
"SVN","1990-1994",0.437720824175392
"SWE","1990-1994",3.04928448300868
"SWZ","1990-1994",-0.947262859228333
"SYC","1990-1994",0.401769555431785
"SYR","1990-1994",0.0718784552473491
"TCD","1990-1994",-0.758108902934517
"TGO","1990-1994",0.284175193723993
"THA","1990-1994",-0.486948961411692
"TJK","1990-1994",-1.23408035841954
"TKL","1990-1994",-3.93636973464816
"TKM","1990-1994",-0.825364170975154
"TLS","1990-1994",-1.30853159208772
"TON","1990-1994",-0.719170155079391
"TTO","1990-1994",-0.495445263757563
"TUN","1990-1994",0.615576496823053
"TUR","1990-1994",0.33016937818182
"TUV","1990-1994",0.223654164591745
"TWN","1990-1994",-1.54204744581091
"TZA","1990-1994",-0.62348625251479
"UGA","1990-1994",-0.686906878423307
"UKR","1990-1994",0.590074314301301
"URY","1990-1994",0.689240955205141
"USA","1990-1994",1.30892691024794
"UZB","1990-1994",-0.792030085144774
"VAT","1990-1994",-1.66926808553225
"VCT","1990-1994",0.324992833295931
"VEN","1990-1994",0.583955311518397
"VGB","1990-1994",-1.77095180027215
"VNM","1990-1994",0.172434556186798
"VUT","1990-1994",0.32297037389645
"WSM","1990-1994",-0.644648708024057
"YEM","1990-1994",-0.926480199724133
"ZAF","1990-1994",0.620614444165991
"ZMB","1990-1994",-0.789929605726494
"ZWE","1990-1994",-0.723578580511369
"ABW","1995-1999",-1.54028447914826
"AFG","1995-1999",-1.71093714286027
"AGO","1995-1999",-1.19265013769244
"ALB","1995-1999",-0.723072684843375
"AND","1995-1999",-2.15383404145935
"ARE","1995-1999",-0.620803090301857
"ARG","1995-1999",0.609470816012565
"ARM","1995-1999",-1.27071379882267
"ATG","1995-1999",0.268637074848751
"AUS","1995-1999",0.855751788995033
"AUT","1995-1999",1.56146177649915
"AZE","1995-1999",-0.484815587250882
"BDI","1995-1999",-0.942576413306427
"BEL","1995-1999",1.46450420577356
"BEN","1995-1999",-0.538177153721053
"BFA","1995-1999",-0.570218961995967
"BGD","1995-1999",-0.532670553601874
"BGR","1995-1999",1.49350226924231
"BHR","1995-1999",-0.617443094700548
"BHS","1995-1999",0.0920271431714531
"BIH","1995-1999",-1.24629092011242
"BLR","1995-1999",-0.0262689002638966
