iso3,pc2,rank_desc
NOR,-0.6019312499880195,185
AUT,-0.89612415750026,186
FIN,-0.9644477389196756,187
GIN,-2.942119739409958,188
CYP,-3.397408625056125,189
LBY,-20.098267649742176,190
LCA,-20.152954965042163,191
SWE,-22.20078023082161,192
GEO,-23.93292585362197,193
CUB,-34.76622556824063,194
