item,pc1
arms_cwc__2000-2004,0.004284661667930392
arms_cwc__1990-1994,-0.005966976614915267
arms_ctbt__2015-2018,-0.02693032455293811
arms_ottawa__2010-2014,-0.037350598578176075
arms_ccw_art1__2015-2018,-0.06843760362740045
arms_tpnw__2015-2018,-0.07452242720040962
arms_ottawa__2005-2009,-0.0973635028476536
arms_cwc__1995-1999,-0.09924953794188413
arms_ottawa__2015-2018,-0.10495375313512079
arms_cwc__2010-2014,-0.12821604892164898
arms_ctbt__2000-2004,-0.13385086407009392
arms_ccw_art1__2010-2014,-0.13405853160476058
arms_ctbt__2005-2009,-0.13570138738377235
arms_cwc__2015-2018,-0.13748867343585086
arms_ctbt__2010-2014,-0.14909506810952272
arms_ccm__2015-2018,-0.16022988549018757
arms_ottawa__2000-2004,-0.16133628248526674
arms_att__2015-2018,-0.17791599425775445
arms_cwc__2005-2009,-0.18066456197474506
arms_ccw_art1__2005-2009,-0.209483820649561
arms_ccm__2005-2009,-0.2789827052785993
arms_ccm__2010-2014,-0.31761815672685095
arms_ccw_art1__2000-2004,-0.32112229683455557
arms_ctbt__1995-1999,-0.32414993179247437
arms_ottawa__1995-1999,-0.327927366108505
arms_att__2010-2014,-0.43708877787832123
