issue_area,iso3,pc1,rank_desc,n_countries,percentile_from_top,sign
trade,DNK,-2.9427034333157485,187,194,0.03626943005181349,-
trade,IRN,-1.7184327142594549,120,194,0.383419689119171,-
investment,DNK,-3.781386859305192,139,203,0.3168316831683168,-
investment,IRN,13.67637978673696,26,203,0.8762376237623762,+
security,DNK,-3.2148314029707006,147,164,0.10429447852760731,-
security,IRN,2.271420055976067,12,164,0.9325153374233128,+
environment,DNK,25.84284028989012,5,206,0.9804878048780488,+
environment,IRN,0.47990458332944774,98,206,0.526829268292683,+
