iso3,pc2,rank_desc
KAZ,38.2245103543192,1
KGZ,35.25351585925594,2
TUN,27.024649930226687,3
RUS,5.155032657791769,4
BLR,3.4619388501556765,5
ARM,3.155045917553361,6
UKR,2.4302253619167096,7
COL,2.423047057233723,8
TJK,1.987054191569693,9
COG,1.9064428521197627,10
