reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0405,20,3,0,24.999999999999996,3,0,4.9999999999999964,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0804,7.5,1,0,12,5,0,4.5,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0902,18,1,0,30,4,0,12,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0906,10,2,0,20,3,0,10,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,0909,14,4,0,20,6,0,6,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1211,14.8333333333333,3,0,15.000000000000002,4,0,0.1666666666667016,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1212,12.5,2,0,15,7,0,2.5,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1301,12,1,0,19.375,2,0,7.375,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1302,15,1,0,16.71875,8,0,1.71875,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1509,9,2,0,15,2,0,6,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,1510,6,1,0,10,1,0,4,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2008,30.2604166666667,5,0,35,13,0,4.7395833333333,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2510,3.5,2,0,5,2,0,1.5,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2809,7.8,1,0,4,2,0,-3.8,0,1,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2836,17.5,1,0,20.089285731315613,8,0,2.589285731315613,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2915,21.21875,2,0,17.18164679209391,16,0,-4.037103207906089,0,1,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2936,13.77272727272725,2,0,11.909090828895566,10,0,-1.863636443831684,0,1,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,2941,14.6744186046512,1,0,17.45925271511078,6,0,2.7848341104595793,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3203,20.6666666666667,1,0,21.6666660308838,1,0,0.9999993642170999,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3204,28.2,1,0,29.33333339691162,10,0,1.1333333969116204,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3301,28.75,1,0,31.927083253860474,8,0,3.1770832538604736,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,3302,36,1,0,40,2,0,4,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,7901,4.666666666666667,3,0,5,3,0,0.33333333333333304,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,8112,5.33333333333333,3,0,6.1666666030883786,11,0,0.8333332697550482,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,8482,17.5,4,0,23.4375,8,0,5.9375,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,8506,40,3,0,40.00000000000001,7,0,7.105427357601002e-15,1,0,HS4,WITS/TRAINS
BRA,1991,N82,N82,GSTP 48 Signatories,Yes,Beneficiaries,NA,14,1,1,25.497008407881502,436,1,11.497008407881502,1,0,HS4,WITS/TRAINS
