reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2006,0102,1.0000000000000002,5,0
BRA,2006,0103,1.3333333333333333,3,0
BRA,2006,0104,0.833333343267441,2,0
BRA,2006,0105,2.3333333333333335,6,0
BRA,2006,0201,10.666666666666666,3,0
BRA,2006,0202,10.666666666666666,3,0
BRA,2006,0203,10,6,0
BRA,2006,0204,10,9,0
BRA,2006,0205,10,1,0
BRA,2006,0206,10,9,0
BRA,2006,0208,10.000000000000002,6,0
BRA,2006,0209,6,2,0
BRA,2006,0210,10,4,0
BRA,2006,0301,6.000000000000002,8,0
BRA,2006,0302,9.523809523809529,42,0
BRA,2006,0303,9.565217391304351,39,0
BRA,2006,0304,10.000000000000007,41,0
BRA,2006,0305,7.638888875643413,20,0
BRA,2006,0306,10,14,0
BRA,2006,0307,10.000000000000004,17,0
BRA,2006,0308,10.000000000000002,6,0
BRA,2006,0401,12.888888994852701,4,0
BRA,2006,0402,22.93333358764648,5,0
BRA,2006,0403,16,2,0
BRA,2006,0404,20.5,2,0
BRA,2006,0406,18.2,5,0
BRA,2006,0407,2.66666674613953,5,0
BRA,2006,0408,10,4,0
BRA,2006,0409,16,1,0
BRA,2006,0410,14,1,0
BRA,2006,0501,8,1,0
BRA,2006,0502,8,2,0
BRA,2006,0504,7.19999980926514,1,0
BRA,2006,0505,8,2,0
BRA,2006,0506,8,2,0
BRA,2006,0507,8,2,0
BRA,2006,0508,8,1,0
BRA,2006,0510,1,1,0
BRA,2006,0511,2,3,0
BRA,2006,0601,0,2,0
BRA,2006,0602,2,4,0
BRA,2006,0603,10,7,0
BRA,2006,0604,8,2,0
BRA,2006,0701,5,2,0
BRA,2006,0702,10,1,0
BRA,2006,0703,9.166666666666666,3,0
BRA,2006,0704,10,3,0
BRA,2006,0705,10,4,0
BRA,2006,0706,10,2,0
BRA,2006,0707,10,1,0
BRA,2006,0708,10,3,0
BRA,2006,0709,9.583333313465118,11,0
BRA,2006,0710,10,8,0
BRA,2006,0711,9.999999999999998,5,0
BRA,2006,0712,10,2,0
BRA,2006,0713,5,12,0
BRA,2006,0714,10,6,0
BRA,2006,0802,9.111111111111114,15,0
BRA,2006,0803,10,2,0
BRA,2006,0804,10,5,0
BRA,2006,0805,10,4,0
BRA,2006,0806,10,2,0
BRA,2006,0807,10,1,0
BRA,2006,0808,10,3,0
BRA,2006,0809,10,5,0
BRA,2006,0810,10,8,0
BRA,2006,0811,10,3,0
BRA,2006,0812,10,2,0
BRA,2006,0813,10,5,0
BRA,2006,0814,10,1,0
BRA,2006,0901,10,4,0
BRA,2006,0902,10,4,0
BRA,2006,0903,10,1,0
BRA,2006,0904,10,4,0
BRA,2006,0905,10,2,0
BRA,2006,0906,10,3,0
BRA,2006,0907,10,2,0
BRA,2006,0908,10,6,0
BRA,2006,0909,10,6,0
BRA,2006,0910,10,6,0
BRA,2006,1001,5,4,0
BRA,2006,1002,4,2,0
BRA,2006,1003,7.5,2,0
BRA,2006,1004,4,2,0
BRA,2006,1005,4,2,0
BRA,2006,1006,9.791666626930237,4,0
BRA,2006,1007,4,2,0
