country_name,treaty_id,treaty_name,action_type,action_date,signature_date,treaty_open_year,mtdsg_no,source_url
Afghanistan,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1985-10-22,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Algeria,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1991-12-19,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Antigua and Barbuda,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Succession,1988-10-25,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Argentina,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1987-03-20,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Armenia,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,2002-05-15,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Australia,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1984-09-07,1978-05-31,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Austria,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1990-01-17,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Bangladesh,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1979-10-03,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Belarus,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1978-06-07,1977-05-18,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Belgium,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1982-07-12,1977-05-18,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Benin,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1986-06-30,1977-06-10,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Bolivia (Plurinational State of),enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,,,1977-05-18,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Brazil,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1984-10-12,1977-11-09,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Bulgaria,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Ratification,1978-05-31,1977-05-18,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Cabo Verde,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,1979-10-03,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
Cameroon,enmod,Convention on the prohibition of military or any other hostile use of environmental modification techniques,Accession,2011-04-18,,1976,XXVI-1,https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XXVI-1&chapter=26&clang=_en
