"anchor","name","icpsr","row_index","dim1","dim2"
"a0","WELLSTONE, Paul David",49101,136,-2,-1.31844155844156
"a1","COBURN, Thomas Allen",29555,92,2,0.192207792207792
"a2","CHAFEE, Lincoln Davenport",49905,159,-0.282783882783883,-2
