reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,2007,0102,1.0000000000000002,5,0
BRA,2007,0103,1.3333333333333333,3,0
BRA,2007,0104,0.833333343267441,2,0
BRA,2007,0105,2.3333333333333335,6,0
BRA,2007,0201,10.666666666666666,3,0
BRA,2007,0202,10.666666666666666,3,0
BRA,2007,0203,10,6,0
BRA,2007,0204,10,9,0
BRA,2007,0205,10,1,0
BRA,2007,0206,10,9,0
BRA,2007,0208,10.000000000000002,6,0
BRA,2007,0209,6,2,0
BRA,2007,0210,10,4,0
BRA,2007,0301,6.000000000000002,8,0
BRA,2007,0302,9.523809523809529,42,0
BRA,2007,0303,10.000000000000004,37,0
BRA,2007,0305,7.638888875643413,20,0
BRA,2007,0306,10,14,0
BRA,2007,0307,10.000000000000004,17,0
BRA,2007,0308,10.000000000000002,6,0
BRA,2007,0401,12.888888994852701,4,0
BRA,2007,0402,22.93333358764648,5,0
BRA,2007,0403,16,2,0
BRA,2007,0404,20.5,2,0
BRA,2007,0406,18.2,5,0
BRA,2007,0407,2.66666674613953,5,0
BRA,2007,0408,10,4,0
BRA,2007,0409,16,1,0
BRA,2007,0410,14,1,0
BRA,2007,0501,8,1,0
BRA,2007,0502,8,2,0
BRA,2007,0504,7.19999980926514,1,0
BRA,2007,0505,8,2,0
BRA,2007,0506,8,2,0
BRA,2007,0507,8,2,0
BRA,2007,0508,8,1,0
BRA,2007,0510,1,1,0
BRA,2007,0511,2.400000015894573,3,0
BRA,2007,0601,0,2,0
BRA,2007,0602,2,4,0
BRA,2007,0603,10,1,0
BRA,2007,0604,8,2,0
BRA,2007,0701,5,2,0
BRA,2007,0702,10,1,0
BRA,2007,0703,9.166666666666666,3,0
BRA,2007,0704,10,3,0
BRA,2007,0705,10,4,0
BRA,2007,0706,10,2,0
BRA,2007,0707,10,1,0
BRA,2007,0708,10,3,0
BRA,2007,0709,9.642857142857144,10,0
BRA,2007,0710,10,8,0
BRA,2007,0711,9.999999999999998,5,0
BRA,2007,0712,10,2,0
BRA,2007,0713,5,12,0
BRA,2007,0714,10,6,0
BRA,2007,0802,9.111111111111114,15,0
BRA,2007,0803,10,2,0
BRA,2007,0804,10,5,0
BRA,2007,0805,10,4,0
BRA,2007,0806,10,2,0
BRA,2007,0807,10,1,0
BRA,2007,0808,10,3,0
BRA,2007,0809,10,5,0
BRA,2007,0810,10,7,0
BRA,2007,0811,10,3,0
BRA,2007,0812,10,2,0
BRA,2007,0813,10,5,0
BRA,2007,0814,10,1,0
BRA,2007,0901,10,4,0
BRA,2007,0902,10,4,0
BRA,2007,0903,10,1,0
BRA,2007,0904,10,4,0
BRA,2007,0905,10,2,0
BRA,2007,0906,10,1,0
BRA,2007,0907,10,2,0
BRA,2007,0908,10,6,0
BRA,2007,0909,10,6,0
BRA,2007,0910,10,6,0
BRA,2007,1001,5,4,0
BRA,2007,1002,4,2,0
BRA,2007,1003,7.5,2,0
BRA,2007,1004,4,2,0
BRA,2007,1005,4,2,0
BRA,2007,1006,9.791666626930237,4,0
BRA,2007,1007,4,2,0
BRA,2007,1008,4,8,0
BRA,2007,1101,12,1,0
BRA,2007,1102,10,2,0
BRA,2007,1103,10,3,0
BRA,2007,1104,10,6,0
BRA,2007,1105,12,2,0
BRA,2007,1106,10,3,0
BRA,2007,1107,14,2,0
BRA,2007,1108,10,6,0
BRA,2007,1109,10,1,0
BRA,2007,1201,4,2,0
BRA,2007,1202,6.5,3,0
BRA,2007,1203,8,1,0
BRA,2007,1204,4,1,0
BRA,2007,1206,4,1,0
BRA,2007,1207,4.160000038146973,7,0
BRA,2007,1208,10,2,0
BRA,2007,1209,0,9,0
BRA,2007,1210,8,2,0
BRA,2007,1211,8,4,0
BRA,2007,1212,7.333333333333333,5,0
BRA,2007,1213,8,1,0
BRA,2007,1214,8,2,0
BRA,2007,1301,5,2,0
BRA,2007,1302,8.09375,8,0
BRA,2007,1401,6,3,0
BRA,2007,1404,6,2,0
BRA,2007,1501,8,3,0
BRA,2007,1502,6,2,0
BRA,2007,1503,8,1,0
BRA,2007,1504,8.666666666666666,3,0
BRA,2007,1506,6,1,0
BRA,2007,1507,10.66666650772095,2,0
BRA,2007,1508,11,2,0
BRA,2007,1509,10,2,0
BRA,2007,1510,10,1,0
BRA,2007,1511,10,2,0
BRA,2007,1512,10.333333253860475,4,0
BRA,2007,1513,10,4,0
BRA,2007,1515,10,7,0
BRA,2007,1516,10,2,0
BRA,2007,1517,12,2,0
BRA,2007,1518,10,1,0
BRA,2007,1521,10,2,0
BRA,2007,1522,10,1,0
BRA,2007,1601,16,1,0
BRA,2007,1602,16,10,0
BRA,2007,1603,16,1,0
BRA,2007,1604,16,11,0
BRA,2007,1605,16,18,0
BRA,2007,1701,16,5,0
BRA,2007,1702,16,6,0
BRA,2007,1703,16,2,0
BRA,2007,1704,20,2,0
BRA,2007,1801,10,1,0
BRA,2007,1802,10,1,0
BRA,2007,1803,12,2,0
BRA,2007,1804,12,1,0
BRA,2007,1805,14,1,0
BRA,2007,1806,19.2,5,0
BRA,2007,1901,15.6111110051473,3,0
BRA,2007,1902,16,5,0
BRA,2007,1903,16,1,0
BRA,2007,1904,16,4,0
BRA,2007,1905,18,4,0
BRA,2007,2001,14,2,0
BRA,2007,2002,14,2,0
BRA,2007,2003,14,2,0
BRA,2007,2004,14,2,0
BRA,2007,2005,14,8,0
BRA,2007,2006,14,1,0
BRA,2007,2007,14,3,0
BRA,2007,2008,14,13,0
BRA,2007,2009,14,7,0
BRA,2007,2101,15,2,0
BRA,2007,2102,14,3,0
BRA,2007,2103,16.91666650772095,4,0
BRA,2007,2104,16.5,2,0
BRA,2007,2105,17,1,0
BRA,2007,2106,14.875,2,0
BRA,2007,2201,20,2,0
BRA,2007,2202,20,2,0
BRA,2007,2203,20,1,0
BRA,2007,2204,21.75,4,0
BRA,2007,2205,20,2,0
BRA,2007,2206,20,1,0
BRA,2007,2207,5,2,0
BRA,2007,2208,19.466666793823247,7,0
BRA,2007,2209,20,1,0
BRA,2007,2301,6,2,0
BRA,2007,2302,6,4,0
BRA,2007,2303,6,3,0
BRA,2007,2304,6,1,0
BRA,2007,2305,6,1,0
BRA,2007,2306,6,6,0
BRA,2007,2307,6,1,0
BRA,2007,2309,11,2,0
BRA,2007,2401,13.733333269755034,3,0
BRA,2007,2402,20,3,0
BRA,2007,2403,16.666666666666668,4,0
BRA,2007,2501,4,1,0
BRA,2007,2502,4,1,0
BRA,2007,2504,4,2,0
BRA,2007,2505,4,2,0
BRA,2007,2506,4,1,0
BRA,2007,2507,4,1,0
BRA,2007,2508,4,6,0
BRA,2007,2509,4,1,0
BRA,2007,2510,0,2,0
BRA,2007,2511,4,2,0
BRA,2007,2512,4,1,0
BRA,2007,2514,4,1,0
BRA,2007,2515,4.666666666666667,3,0
BRA,2007,2516,4.666666666666667,3,0
