reporter_iso3,year,partner_code,partner_iso3,partner_name,partner_is_group,partner_group_type,hs4_code,applied_tariff,applied_lines,mapping_missing_share.x,mfn_tariff,mfn_lines,mapping_missing_share.y,preferential_margin,is_preferential,negative_margin,hs_level,source
BRA,2007,032,ARG,Argentina,No,N/A,0102,0,3,0,1.0000000000000002,5,0,1.0000000000000002,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0103,0,2,0,1.3333333333333333,3,0,1.3333333333333333,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0104,0,2,0,0.833333343267441,2,0,0.833333343267441,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0105,0,6,0,2.3333333333333335,6,0,2.3333333333333335,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0201,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0202,0,3,0,10.666666666666666,3,0,10.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0203,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0204,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0205,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0206,0,9,0,10,9,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0208,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0209,0,2,0,6,2,0,6,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0210,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0301,0,8,0,6.000000000000002,8,0,6.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0302,0,41,0,9.523809523809529,42,0,9.523809523809529,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0303,0,37,0,10.000000000000004,37,0,10.000000000000004,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0305,0,18,0,7.638888875643413,20,0,7.638888875643413,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0306,0,14,0,10,14,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0307,0,17,0,10.000000000000004,17,0,10.000000000000004,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0308,0,6,0,10.000000000000002,6,0,10.000000000000002,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0401,0,4,0,12.888888994852701,4,0,12.888888994852701,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0402,0,5,0,22.93333358764648,5,0,22.93333358764648,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0403,0,2,0,16,2,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0404,0,2,0,20.5,2,0,20.5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0406,0,5,0,18.2,5,0,18.2,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0407,0,5,0,2.66666674613953,5,0,2.66666674613953,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0408,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0409,0,1,0,16,1,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0410,0,1,0,14,1,0,14,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0501,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0502,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0504,0,1,0,7.19999980926514,1,0,7.19999980926514,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0505,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0506,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0507,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0508,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0510,0,1,0,1,1,0,1,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0511,0,2,0,2.400000015894573,3,0,2.400000015894573,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0602,0,4,0,2,4,0,2,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0603,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0604,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0701,0,1,0,5,2,0,5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0702,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0703,0,3,0,9.166666666666666,3,0,9.166666666666666,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0704,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0705,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0706,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0707,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0708,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0709,0,10,0,9.642857142857144,10,0,9.642857142857144,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0710,0,8,0,10,8,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0711,0,5,0,9.999999999999998,5,0,9.999999999999998,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0712,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0713,0,12,0,5,12,0,5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0714,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0802,0,15,0,9.111111111111114,15,0,9.111111111111114,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0803,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0804,0,5,0,10,5,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0805,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0806,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0807,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0808,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0809,0,5,0,10,5,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0810,0,7,0,10,7,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0811,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0812,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0813,0,5,0,10,5,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0814,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0901,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0902,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0903,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0904,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0905,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0906,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0907,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0908,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0909,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,0910,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1001,0,4,0,5,4,0,5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1002,0,2,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1003,0,2,0,7.5,2,0,7.5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1004,0,2,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1005,0,1,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1006,0,4,0,9.791666626930237,4,0,9.791666626930237,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1007,0,2,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1008,0,8,0,4,8,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1101,0,1,0,12,1,0,12,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1102,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1103,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1104,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1105,0,2,0,12,2,0,12,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1106,0,3,0,10,3,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1107,0,2,0,14,2,0,14,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1108,0,6,0,10,6,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1109,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1201,0,2,0,4,2,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1202,0,3,0,6.5,3,0,6.5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1203,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1204,0,1,0,4,1,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1206,0,1,0,4,1,0,4,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1207,0,7,0,4.160000038146973,7,0,4.160000038146973,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1208,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1210,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1211,0,4,0,8,4,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1212,0,5,0,7.333333333333333,5,0,7.333333333333333,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1213,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1214,0,2,0,8,2,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1301,0,2,0,5,2,0,5,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1302,0,8,0,8.09375,8,0,8.09375,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1401,0,3,0,6,3,0,6,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1404,0,2,0,6,2,0,6,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1501,0,3,0,8,3,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1502,0,2,0,6,2,0,6,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1503,0,1,0,8,1,0,8,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1504,0,3,0,8.666666666666666,3,0,8.666666666666666,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1506,0,1,0,6,1,0,6,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1507,0,2,0,10.66666650772095,2,0,10.66666650772095,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1508,0,2,0,11,2,0,11,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1509,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1510,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1511,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1512,0,4,0,10.333333253860475,4,0,10.333333253860475,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1513,0,4,0,10,4,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1515,0,7,0,10,7,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1516,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1517,0,2,0,12,2,0,12,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1518,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1521,0,2,0,10,2,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1522,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1601,0,1,0,16,1,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1602,0,10,0,16,10,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1603,0,1,0,16,1,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1604,0,11,0,16,11,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1605,0,18,0,16,18,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1701,0,5,0,16,5,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1702,0,6,0,16,6,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1703,0,2,0,16,2,0,16,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1704,0,2,0,20,2,0,20,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1801,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
BRA,2007,032,ARG,Argentina,No,N/A,1802,0,1,0,10,1,0,10,1,0,HS4,WITS/TRAINS
