reporter_iso3,year,hs4_code,mfn_tariff,mfn_lines,mapping_missing_share
BRA,1990,0101,5.833333333333333,4,0
BRA,1990,0102,1.8750000000000002,5,0
BRA,1990,0103,10,3,0
BRA,1990,0104,6.25,2,0
BRA,1990,0105,7.5,7,0
BRA,1990,0106,3.0000000000000013,13,0
BRA,1990,0201,0,3,0
BRA,1990,0202,0,3,0
BRA,1990,0203,20,6,0
BRA,1990,0204,20,9,0
BRA,1990,0205,20,1,0
BRA,1990,0206,20,9,0
BRA,1990,0207,19.999999999999993,19,0
BRA,1990,0208,20.000000000000004,6,0
BRA,1990,0209,20,2,0
BRA,1990,0210,20,8,0
BRA,1990,0301,15.000000000000005,8,0
BRA,1990,0302,25.000000000000025,42,0
BRA,1990,0303,24.58333333333333,41,0
BRA,1990,0304,24.99999999999999,41,0
BRA,1990,0305,18.15476195017497,20,0
BRA,1990,0306,25,14,0
BRA,1990,0307,25.000000000000004,17,0
BRA,1990,0308,25.000000000000004,6,0
BRA,1990,0401,30,4,0
BRA,1990,0402,30,5,0
BRA,1990,0403,30,2,0
BRA,1990,0404,30,2,0
BRA,1990,0405,30,3,0
BRA,1990,0406,40,5,0
BRA,1990,0407,18,5,0
BRA,1990,0408,30,4,0
BRA,1990,0409,30,1,0
BRA,1990,0410,30,1,0
BRA,1990,0501,10,1,0
BRA,1990,0502,10,2,0
BRA,1990,0504,9.2857141494751,1,0
BRA,1990,0505,10,2,0
BRA,1990,0506,10,2,0
BRA,1990,0507,10,2,0
BRA,1990,0508,10,1,0
BRA,1990,0510,7.5,1,0
BRA,1990,0511,5,3,0
BRA,1990,0601,0,2,0
BRA,1990,0602,14.28571434020996,5,0
BRA,1990,0603,30,7,0
BRA,1990,0604,30,2,0
BRA,1990,0701,7.5,2,0
BRA,1990,0702,15,1,0
BRA,1990,0703,23.333333333333332,3,0
BRA,1990,0704,15,3,0
BRA,1990,0705,15,4,0
BRA,1990,0706,15,2,0
BRA,1990,0707,15,1,0
BRA,1990,0708,15,3,0
BRA,1990,0709,15.000000000000002,11,0
BRA,1990,0710,15,8,0
BRA,1990,0711,20.55555534362793,5,0
BRA,1990,0712,20.833333333333332,6,0
BRA,1990,0713,12.777777777777779,12,0
BRA,1990,0714,15,6,0
BRA,1990,0801,20,7,0
BRA,1990,0802,38.88888888888891,15,0
BRA,1990,0803,20,2,0
BRA,1990,0804,20,5,0
BRA,1990,0805,20,5,0
BRA,1990,0806,30,2,0
BRA,1990,0807,20,3,0
BRA,1990,0808,32.75,3,0
BRA,1990,0809,35,5,0
BRA,1990,0810,22,8,0
BRA,1990,0811,40,3,0
BRA,1990,0812,40,2,0
BRA,1990,0813,37.82857131958008,5,0
BRA,1990,0814,20,1,0
BRA,1990,0901,24.5,5,0
BRA,1990,0902,35,4,0
BRA,1990,0903,25,1,0
BRA,1990,0904,20,4,0
BRA,1990,0905,30,2,0
BRA,1990,0906,30,3,0
BRA,1990,0907,32.5,2,0
BRA,1990,0908,35,6,0
BRA,1990,0909,35,6,0
BRA,1990,0910,35,6,0
BRA,1990,1001,25,4,0
BRA,1990,1002,25,2,0
BRA,1990,1003,25,2,0
BRA,1990,1004,25,2,0
BRA,1990,1005,7.5,2,0
BRA,1990,1006,20,4,0
BRA,1990,1007,25,2,0
BRA,1990,1008,22.5,8,0
BRA,1990,1101,30,1,0
BRA,1990,1102,30,2,0
BRA,1990,1103,30,4,0
BRA,1990,1104,28.333333333333332,6,0
BRA,1990,1105,30,2,0
BRA,1990,1106,30,3,0
BRA,1990,1107,20,2,0
BRA,1990,1108,30,6,0
BRA,1990,1109,30,1,0
BRA,1990,1201,10,2,0
BRA,1990,1202,20,3,0
BRA,1990,1203,20,1,0
BRA,1990,1204,0,1,0
BRA,1990,1205,20,2,0
BRA,1990,1206,20,1,0
BRA,1990,1207,20,10,0
BRA,1990,1208,17.5,2,0
BRA,1990,1209,0,10,0
BRA,1990,1210,9,2,0
BRA,1990,1211,20,4,0
BRA,1990,1212,20,7,0
BRA,1990,1213,20,1,0
BRA,1990,1214,20,2,0
BRA,1990,1301,23.4375,2,0
BRA,1990,1302,20.546875,8,0
BRA,1990,1401,15,3,0
BRA,1990,1404,12.5,2,0
BRA,1990,1501,20,3,0
BRA,1990,1502,18.3333339691162,2,0
BRA,1990,1503,20,1,0
BRA,1990,1504,16.25,3,0
BRA,1990,1505,20,1,0
BRA,1990,1506,20,1,0
BRA,1990,1507,22.5,2,0
BRA,1990,1508,20,2,0
BRA,1990,1509,25,2,0
BRA,1990,1510,20,1,0
BRA,1990,1511,20,2,0
BRA,1990,1512,20,4,0
BRA,1990,1513,20,4,0
BRA,1990,1514,20,4,0
BRA,1990,1515,20,7,0
BRA,1990,1516,19.1666660308838,2,0
BRA,1990,1517,20,2,0
BRA,1990,1518,20,1,0
BRA,1990,1520,20,1,0
BRA,1990,1521,20,2,0
BRA,1990,1522,20,1,0
BRA,1990,1601,40,1,0
BRA,1990,1602,43.333333333333336,10,0
BRA,1990,1603,40,1,0
BRA,1990,1604,45,11,0
BRA,1990,1605,40,18,0
BRA,1990,1701,25,5,0
BRA,1990,1702,29.610389709472656,8,0
BRA,1990,1703,25,2,0
BRA,1990,1704,50,2,0
BRA,1990,1801,15,1,0
BRA,1990,1802,15,1,0
BRA,1990,1803,20,2,0
BRA,1990,1804,20,1,0
BRA,1990,1805,50,1,0
BRA,1990,1806,50,5,0
BRA,1990,1901,46.38095219930013,3,0
BRA,1990,1902,57,5,0
BRA,1990,1903,50,1,0
BRA,1990,1904,50,4,0
BRA,1990,1905,50,6,0
BRA,1990,2001,40,2,0
BRA,1990,2002,35.8333339691162,2,0
BRA,1990,2003,35,2,0
BRA,1990,2004,38,2,0
BRA,1990,2005,40,10,0
BRA,1990,2006,40,1,0
BRA,1990,2007,40,3,0
BRA,1990,2008,40.833333333333336,13,0
BRA,1990,2009,40,17,0
BRA,1990,2101,45,4,0
BRA,1990,2102,45,3,0
BRA,1990,2103,45.2083330154419,4,0
BRA,1990,2104,65,2,0
BRA,1990,2105,45,1,0
BRA,1990,2106,45,2,0
BRA,1990,2201,48.75,2,0
BRA,1990,2202,65,2,0
BRA,1990,2203,85,1,0
BRA,1990,2204,83.16071510314943,4,0
BRA,1990,2205,85,2,0
BRA,1990,2206,85,1,0
BRA,1990,2207,21.25,2,0
BRA,1990,2208,85,7,0
BRA,1990,2209,65,1,0
BRA,1990,2301,5,2,0
BRA,1990,2302,5,4,0
BRA,1990,2303,5,3,0
BRA,1990,2304,10,1,0
BRA,1990,2305,5,1,0
BRA,1990,2306,5.476190430777413,8,0
BRA,1990,2307,15,1,0
BRA,1990,2308,5,1,0
BRA,1990,2309,48.5,2,0
BRA,1990,2401,74.16666666666667,3,0
BRA,1990,2402,85,3,0
BRA,1990,2403,85,4,0
BRA,1990,2501,6.25,1,0
BRA,1990,2502,5,1,0
BRA,1990,2503,0,1,0
BRA,1990,2504,5,2,0
BRA,1990,2505,10,2,0
BRA,1990,2506,10,2,0
BRA,1990,2507,17.5,1,0
BRA,1990,2508,10,6,0
BRA,1990,2509,10,1,0
BRA,1990,2510,0,2,0
BRA,1990,2511,15,2,0
BRA,1990,2512,15,1,0
BRA,1990,2513,15,2,0
BRA,1990,2514,15,1,0
BRA,1990,2515,15,3,0
BRA,1990,2516,15,4,0
BRA,1990,2517,15,5,0
BRA,1990,2518,15,3,0
BRA,1990,2519,20,2,0
BRA,1990,2520,15,2,0
BRA,1990,2521,15,1,0
BRA,1990,2522,15,3,0
BRA,1990,2523,0,5,0
BRA,1990,2524,5,2,0
BRA,1990,2525,10,3,0
BRA,1990,2526,15,2,0
BRA,1990,2528,10,1,0
BRA,1990,2529,10,4,0
BRA,1990,2530,9.090909163157146,3,0
BRA,1990,2601,0,3,0
BRA,1990,2602,0,1,0
BRA,1990,2603,0,1,0
BRA,1990,2604,0,1,0
BRA,1990,2605,0,1,0
